parameter,group,present,evidence_category,strongest_source_class,weak_for_final_claim,review_priority,current_value,unit,source_name,source_url_or_citation,applies_to,uncertainty_range,source_tables,source_classes,recommended_upgrade,candidate_artifacts,claim_boundary,notes
base_disruption_probability,disruption,true,assumption-only,expert assumption,true,high,0.010-0.060,probability by road class,Road class defaults,src/realworld/attributes.py,road disruption sampling,0.0-0.1,parameter_sources.csv,expert assumption,"Replace or accept disruption probabilities and degradation factors using public hazard/incident data, scenario literature, or reviewed sensitivity-bound assumptions.",data/scenarios/disruption_scenarios.csv; data/validation/accessibility_loss.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace scenario-only disruption probabilities and degradation rules with public hazard, incident, literature, or expert-reviewed evidence"
blockage_rule,disruption,true,assumption-only,expert assumption,true,high,infinite_travel_time,rule,Disruption and traffic models,src/disruptions.py and src/traffic.py,blocked road edges,blocked versus capacity_reduction modes,parameter_sources.csv,expert assumption,"Replace or accept disruption probabilities and degradation factors using public hazard/incident data, scenario literature, or reviewed sensitivity-bound assumptions.",data/scenarios/disruption_scenarios.csv; data/validation/accessibility_loss.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace scenario-only disruption probabilities and degradation rules with public hazard, incident, literature, or expert-reviewed evidence"
capacity_reduction_factor,disruption,true,sensitivity-only,sensitivity-only,true,high,0.5,dimensionless,Config failure settings,config.yaml,capacity_reduction disruptions,0.25-0.75,parameter_sources.csv,sensitivity-only,"Replace or accept disruption probabilities and degradation factors using public hazard/incident data, scenario literature, or reviewed sensitivity-bound assumptions.",data/scenarios/disruption_scenarios.csv; data/validation/accessibility_loss.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace scenario-only disruption probabilities and degradation rules with public hazard, incident, literature, or expert-reviewed evidence"
disruption_probability,disruption,true,sensitivity-only,sensitivity-only,true,high,0.0-3.0,p_fail_scale multiplier,Config failure-rate levels,config.yaml,road edge disruption sampling,0.0-3.0 with base_p_fail 0.010-0.060,parameter_sources.csv,sensitivity-only,"Replace or accept disruption probabilities and degradation factors using public hazard/incident data, scenario literature, or reviewed sensitivity-bound assumptions.",data/scenarios/disruption_scenarios.csv; data/validation/accessibility_loss.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace scenario-only disruption probabilities and degradation rules with public hazard, incident, literature, or expert-reviewed evidence"
rail_capacity,rail,true,assumption-only,expert assumption,true,high,500,pax/train,Pilot region rail capacity,data/regions/pilot_region.yaml,multimodal rail,200-1200,parameter_sources.csv; rail_assumptions.csv,expert assumption; sensitivity-only,"Derive or accept rail headway, travel time, and capacity using cached GTFS, public timetables, shortest-path records, operator sources, or explicit sensitivity-only treatment.",data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; docs/schemas/rail_gtfs_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_shortest_path_cache_schema.md; data/rail/metro9_capacity_source_extract.csv; data/rail/metro9_capacity_source_raw.html,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","derive rail headway and travel time from cached GTFS, timetable, operator, or agency records, and keep rail capacity source-backed or explicitly sensitivity-only"
rail_headway,rail,true,assumption-only,expert assumption,true,high,10,min,Pilot region rail headway,data/regions/pilot_region.yaml,multimodal rail,5-20,parameter_sources.csv; rail_assumptions.csv,expert assumption,"Derive or accept rail headway, travel time, and capacity using cached GTFS, public timetables, shortest-path records, operator sources, or explicit sensitivity-only treatment.",data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; docs/schemas/rail_gtfs_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_shortest_path_cache_schema.md,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","derive rail headway and travel time from cached GTFS, timetable, operator, or agency records, and keep rail capacity source-backed or explicitly sensitivity-only"
rail_travel_time,rail,true,assumption-only,expert assumption,true,high,20,min,Pilot region rail travel_time_min,data/regions/pilot_region.yaml,multimodal rail,10-40,parameter_sources.csv; rail_assumptions.csv,expert assumption,"Derive or accept rail headway, travel time, and capacity using cached GTFS, public timetables, shortest-path records, operator sources, or explicit sensitivity-only treatment.",data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; docs/schemas/rail_gtfs_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_shortest_path_cache_schema.md,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","derive rail headway and travel time from cached GTFS, timetable, operator, or agency records, and keep rail capacity source-backed or explicitly sensitivity-only"
background_traffic_multiplier,road,true,sensitivity-only,sensitivity-only,true,high,0.8-2.0,multiplier,Config congestion scale levels,config.yaml,road BPR volume scaling,0.8-2.0,parameter_sources.csv,sensitivity-only,"Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides.",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","strengthen road speed, capacity, and background traffic values with public speed limits, traffic counts, or benchmark-calibrated routing"
road_capacity_proxy,road,true,assumption-only,expert assumption,true,high,100-2200,veh/hr by OSM highway class,Real-world road attribute defaults,src/realworld/attributes.py,pilot road edges,100-2200,parameter_sources.csv,expert assumption,"Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides.",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","strengthen road speed, capacity, and background traffic values with public speed limits, traffic counts, or benchmark-calibrated routing"
road_free_flow_speed,road,true,assumption-only,expert assumption,true,high,10-100,km/h by OSM highway class,Real-world road attribute defaults,src/realworld/attributes.py,pilot road edges,10-100,parameter_sources.csv,expert assumption,"Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides.",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","strengthen road speed, capacity, and background traffic values with public speed limits, traffic counts, or benchmark-calibrated routing"
traffic_volume_window,road,true,assumption-only,expert assumption,true,high,60,min,Config traffic volume_window_min,config.yaml,dynamic rolling traffic,15-120,parameter_sources.csv,expert assumption,"Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides.",data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","strengthen road speed, capacity, and background traffic values with public speed limits, traffic counts, or benchmark-calibrated routing"
censored_passenger_penalty,demand_time_censoring,true,assumption-only,expert assumption,true,medium,1440,min/person,Metrics penalized_makespan,src/metrics.py and config.yaml,censored passengers,300-1440,parameter_sources.csv,expert assumption,"Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds.",data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","justify demand scale, arrival process, time horizon, and censoring penalties with planning assumptions or sensitivity-bound evidence"
late_arrival_penalty,demand_time_censoring,true,assumption-only,expert assumption,true,medium,1440,min/person,Config metrics late_penalty_min,config.yaml,penalized makespan,300-1440,parameter_sources.csv,expert assumption,"Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds.",data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","justify demand scale, arrival process, time horizon, and censoring penalties with planning assumptions or sensitivity-bound evidence"
passenger_arrival_distribution,demand_time_censoring,true,assumption-only,expert assumption,true,medium,lognormal,distribution,Config lateness distribution,config.yaml,personnel arrival process,mu 2.0; sigma 0.3-1.0,parameter_sources.csv,expert assumption,"Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds.",data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","justify demand scale, arrival process, time horizon, and censoring penalties with planning assumptions or sensitivity-bound evidence"
passenger_volume,demand_time_censoring,true,assumption-only,expert assumption,true,medium,1000,pax,Config personnel total,config.yaml,demand scenario,100-2000,parameter_sources.csv,expert assumption,"Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds.",data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","justify demand scale, arrival process, time horizon, and censoring penalties with planning assumptions or sensitivity-bound evidence"
simulation_time_horizon,demand_time_censoring,true,assumption-only,expert assumption,true,medium,1440,min,Config experiment time_limit,config.yaml,scenario censoring,300-1440,parameter_sources.csv,expert assumption,"Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds.",data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","justify demand scale, arrival process, time horizon, and censoring penalties with planning assumptions or sensitivity-bound evidence"
bus_capacity,fleet,true,assumption-only,expert assumption,true,medium,45,pax/vehicle,Config personnel group size,config.yaml,direct bus and feeder dispatch,20-60,fleet_assumptions.csv; parameter_sources.csv,expert assumption,"Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions.",data/parameters/fleet_assumptions.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace generic fleet and vehicle-capacity assumptions with agency, planning, literature, or accepted scenario evidence"
direct_bus_fleet_size,fleet,true,assumption-only,expert assumption,true,medium,23,vehicles,Config bus fleet_size,config.yaml,bus_only origin fleet,5-40,fleet_assumptions.csv; parameter_sources.csv,expert assumption,"Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions.",data/parameters/fleet_assumptions.csv,"Parameter evidence review packet; not accepted parameter calibration, operational evidence, or publication-readiness approval.","replace generic fleet and vehicle-capacity assumptions with agency, planning, literature, or accepted scenario evidence"
