highway,speed_kph,capacity_veh_per_hr,base_p_fail,source_class,source_name,source_url_or_citation,notes,speed_source_class,speed_source_name,speed_source_url_or_citation,capacity_source_class,capacity_source_name,capacity_source_url_or_citation,base_p_fail_source_class,base_p_fail_source_name,base_p_fail_source_url_or_citation,review_priority,routeable_edge_count,routeable_length_km,routeable_length_share,maxspeed_parseable_rate,capacity_explicit_rate,base_disruption_explicit_rate
motorway,100,3600,0.010,public-data-derived,"Goseong corridor cached OSM observed maxspeed (median) and observed lanes x KOTI HCM per-lane proxy; Fwa (2006) for base disruption rates","data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. Speed = observed median maxspeed (99% tag coverage). Capacity = observed median lanes (2) x KOTI HCM motorway per-lane proxy (1800). base_p_fail from highway reliability literature.",public-data-derived,cached OSM maxspeed tags (Goseong corridor),data/parameters/road_speed_evidence_candidates.csv,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management motorway base rates,Fwa 2006 Ch. 4,low,12652,1201.551923,0.100522,0.990673,0.995574,0
trunk,80,2000,0.015,public-data-derived,"Goseong corridor cached OSM observed maxspeed (median) and observed lanes x KOTI HCM per-lane proxy; Fwa (2006) for base disruption rates","data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. Speed = observed median maxspeed (67% tag coverage). Capacity = observed median lanes (2) x KOTI HCM trunk per-lane proxy (1000). base_p_fail from highway reliability literature.",public-data-derived,cached OSM maxspeed tags (Goseong corridor),data/parameters/road_speed_evidence_candidates.csv,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management trunk-link base rates,Fwa 2006 Ch. 4,high,14785,1053.183475,0.088135,0.67352,0.565032,0
primary,60,1800,0.020,public-data-derived,"Goseong corridor cached OSM observed maxspeed (median) and observed lanes x KOTI HCM per-lane proxy; Fwa (2006) for base disruption rates","data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. Speed = observed median maxspeed (27% tag coverage). Capacity = observed median lanes (2) x KOTI HCM primary per-lane proxy (900). base_p_fail from highway reliability literature.",public-data-derived,cached OSM maxspeed tags (Goseong corridor),data/parameters/road_speed_evidence_candidates.csv,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management primary-link base rates,Fwa 2006 Ch. 4,high,94484,3863.091627,0.323162,0.274332,0.405698,0
secondary,60,1600,0.025,public-data-derived,"Goseong corridor cached OSM observed maxspeed (median) and observed lanes x KOTI HCM per-lane proxy; Fwa (2006) for base disruption rates","data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. Speed = observed median maxspeed (14053 observed tags). Capacity = observed median lanes (2) x KOTI HCM secondary per-lane proxy (800). base_p_fail from highway reliability literature.",public-data-derived,cached OSM maxspeed tags (Goseong corridor),data/parameters/road_speed_evidence_candidates.csv,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management secondary-link base rates,Fwa 2006 Ch. 4,high,132290,4802.103663,0.401722,0.106229,0.23385,0
motorway_link,50,900,0.020,public-data-derived,"Goseong corridor cached OSM observed maxspeed (median) and observed lanes x KOTI HCM per-lane proxy; Fwa (2006) for base disruption rates","data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. Link-class speed = observed median maxspeed (48% tag coverage). Capacity = observed median lanes (1) x KOTI HCM motorway_link per-lane proxy (900). base_p_fail from highway reliability literature.",public-data-derived,cached OSM maxspeed tags (Goseong corridor),data/parameters/road_speed_evidence_candidates.csv,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management link-class base rates,Fwa 2006 Ch. 4,medium,12734,361.662029,0.030255,0.485472,0.32213,0
trunk_link,40,600,0.025,public-data-derived,"Goseong corridor cached OSM observed maxspeed (median) and observed lanes x KOTI HCM per-lane proxy; Fwa (2006) for base disruption rates","data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. Link-class speed = observed median maxspeed (1882 observed tags). Capacity = observed median lanes (1) x KOTI HCM trunk_link per-lane proxy (600). base_p_fail from highway reliability literature.",public-data-derived,cached OSM maxspeed tags (Goseong corridor),data/parameters/road_speed_evidence_candidates.csv,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management link-class base rates,Fwa 2006 Ch. 4,medium,13013,354.799139,0.029687,0.144625,0.226312,0
primary_link,30,540,0.030,literature-derived,"Korea Road Traffic Act Enforcement Rules (statutory link speed); Goseong corridor cached OSM observed lanes x KOTI HCM per-lane proxy; Fwa (2006) for base disruption rates","Korea Road Traffic Act Enforcement Rules Art. 11; data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. Speed = statutory link limit (observed maxspeed tag sample below 1000 too sparse to replace). Capacity = observed median lanes (1) x KOTI HCM primary_link per-lane proxy (540). base_p_fail from highway reliability literature.",literature-derived,Korea Road Traffic Act Enforcement Rules link-class speed,Korea Road Traffic Act Enforcement Rules Art. 11,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management link-class base rates,Fwa 2006 Ch. 4,medium,11062,208.667614,0.017452,0.074941,0.223739,0
secondary_link,30,480,0.035,literature-derived,"Korea Road Traffic Act Enforcement Rules (statutory link speed); Goseong corridor cached OSM observed lanes x KOTI HCM per-lane proxy; Fwa (2006) for base disruption rates","Korea Road Traffic Act Enforcement Rules Art. 11; data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. Speed = statutory link limit (observed maxspeed tag sample below 1000 too sparse to replace). Capacity = observed median lanes (1) x KOTI HCM secondary_link per-lane proxy (480). base_p_fail from highway reliability literature.",literature-derived,Korea Road Traffic Act Enforcement Rules link-class speed,Korea Road Traffic Act Enforcement Rules Art. 11,public-data-derived,cached OSM observed median lanes x KOTI HCM per-lane proxy,data/parameters/road_capacity_evidence_candidates.csv; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management link-class base rates,Fwa 2006 Ch. 4,medium,6992,112.765844,0.009433,0.032752,0.203661,0
tertiary,30,700,0.030,design-standard-derived,"Korea Road Traffic Act Enforcement Rules (statutory speed); MOLIT design-standard lanes x KOTI HCM per-lane proxy (no routeable edges in Goseong bus-practical graph); Fwa (2006) for base disruption rates","Korea Road Traffic Act Enforcement Rules Art. 11; 도로의 구조·시설기준에 관한 규칙; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. No routeable edges of this class in the Goseong bus-practical graph; included for completeness. Speed from Korean statutory limit. Capacity from MOLIT design-standard lanes (1) x KOTI HCM tertiary per-lane proxy (700). base_p_fail from highway reliability literature.",literature-derived,Korea Road Traffic Act Enforcement Rules statutory speed,Korea Road Traffic Act Enforcement Rules Art. 11,design-standard-derived,MOLIT design-standard lanes x KOTI HCM per-lane proxy,도로의 구조·시설기준에 관한 규칙; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management tertiary-link base rates,Fwa 2006 Ch. 4,medium,0,0.0,0.0,0,0,0
tertiary_link,25,420,0.040,design-standard-derived,"Korea Road Traffic Act Enforcement Rules (statutory link speed); MOLIT design-standard lanes x KOTI HCM per-lane proxy (no routeable edges in Goseong bus-practical graph); Fwa (2006) for base disruption rates","Korea Road Traffic Act Enforcement Rules Art. 11; 도로의 구조·시설기준에 관한 규칙; KOTI HCM Korea 2013; Fwa TF (2006) Highway Maintenance Management","Reviewer-approved decision-support override. No routeable edges of this class in the Goseong bus-practical graph; included for completeness. Link-class speed from Korean statutory limit. Capacity from MOLIT design-standard lanes (1) x KOTI HCM tertiary_link per-lane proxy (420). base_p_fail from highway reliability literature.",literature-derived,Korea Road Traffic Act Enforcement Rules link-class speed,Korea Road Traffic Act Enforcement Rules Art. 11,design-standard-derived,MOLIT design-standard lanes x KOTI HCM per-lane proxy,도로의 구조·시설기준에 관한 규칙; KOTI HCM Korea 2013,literature-derived,Fwa TF (2006) Highway Maintenance Management link-class base rates,Fwa 2006 Ch. 4,low,0,0.0,0.0,0,0,0
