highway,speed_kph,capacity_veh_per_hr,base_p_fail,source_class,source_name,source_url_or_citation,notes,speed_source_class,speed_source_name,speed_source_url_or_citation,capacity_source_class,capacity_source_name,capacity_source_url_or_citation,base_p_fail_source_class,base_p_fail_source_name,base_p_fail_source_url_or_citation,review_priority,routeable_length_share,routeable_edge_count,current_speed_kph,current_capacity_veh_per_hr,current_base_p_fail,speed_candidate_value_kph,speed_candidate_source_class,speed_candidate_source_name,speed_candidate_url_or_citation,speed_candidate_scope,capacity_candidate_value_veh_per_hr,capacity_candidate_source_class,capacity_candidate_source_name,capacity_candidate_url_or_citation,capacity_candidate_scope,base_p_fail_candidate_value,base_p_fail_candidate_source_class,base_p_fail_candidate_source_name,base_p_fail_candidate_url_or_citation,base_p_fail_candidate_scope,candidate_status,review_status,formal_acceptance_status,can_support_formal_override,can_support_publication_gate,can_support_final_study_gate,claim_boundary,remaining_review_need
residential,30,400,0.04,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,high,0.635803,5522,30,400,0.04,30,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is consistent with urban residential/local 30 km/h safety speed framing, but still needs road-class mapping review.",400,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.04,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm urban/rural context, lane count, signal/access effects, and disruption source before formal override use."
tertiary,40,800,0.03,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,high,0.135624,1326,40,800,0.03,40,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by Korean general-road speed-limit ranges, but exact free-flow speed remains a reviewed modeling assumption.",800,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.03,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm urban/rural context, lane count, signal/access effects, and disruption source before formal override use."
secondary,50,1000,0.025,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,high,0.089818,870,50,1000,0.025,50,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by Korean general-road speed-limit ranges, but exact free-flow speed remains a reviewed modeling assumption.",1000,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.025,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm urban/rural context, lane count, signal/access effects, and disruption source before formal override use."
primary,60,1400,0.02,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,high,0.068296,486,60,1400,0.02,60,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by Korean general-road speed-limit ranges, but exact free-flow speed remains a reviewed modeling assumption.",1400,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.02,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm urban/rural context, lane count, signal/access effects, and disruption source before formal override use."
trunk,80,1800,0.015,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,medium,0.028686,176,80,1800,0.015,80,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by motorway/controlled-access speed-limit rules, but exact free-flow speed still needs facility review.",1800,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.015,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm controlled-access class mapping, lane count, heavy-vehicle adjustment, and disruption source before formal override use."
trunk_link,50,1000,0.025,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,medium,0.02289,353,50,1000,0.025,50,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by motorway/controlled-access speed-limit rules, but exact free-flow speed still needs facility review.",1000,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.025,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm controlled-access class mapping, lane count, heavy-vehicle adjustment, and disruption source before formal override use."
primary_link,45,800,0.03,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,medium,0.010354,250,45,800,0.03,45,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by Korean general-road speed-limit ranges, but exact free-flow speed remains a reviewed modeling assumption.",800,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.03,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm urban/rural context, lane count, signal/access effects, and disruption source before formal override use."
secondary_link,40,700,0.035,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,medium,0.004448,85,40,700,0.035,40,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by Korean general-road speed-limit ranges, but exact free-flow speed remains a reviewed modeling assumption.",700,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.035,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm urban/rural context, lane count, signal/access effects, and disruption source before formal override use."
unclassified,35,600,0.04,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,medium,0.00249,20,35,600,0.04,35,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by Korean general-road speed-limit ranges, but exact free-flow speed remains a reviewed modeling assumption.",600,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.04,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm urban/rural context, lane count, signal/access effects, and disruption source before formal override use."
tertiary_link,35,500,0.04,expert assumption,draft mapper default pending road-evidence review,src/realworld/attributes.py,"DRAFT ONLY: replace with reviewed speed, capacity, and base-disruption evidence before using in final claims. Candidate-only source suggestions are not reviewed evidence.",expert assumption,draft mapper speed default pending road-evidence review,src/realworld/attributes.py,expert assumption,draft mapper capacity default pending road-evidence review,src/realworld/attributes.py,sensitivity-only,draft mapper base-disruption scenario proxy,src/realworld/attributes.py,medium,0.00159,52,35,500,0.04,35,public-data-derived,Korean road speed-limit bounds; Road Traffic Act Enforcement Rule Article 19 and Safety Speed 5030 public legal explanation,https://www.law.go.kr/LSW/lsPdfPrint.do?ancYnChk=0&bylChaChk=N&efGubun=Y&efYd=20220420&joAllCheck=Y&joEfOutPutYn=on&lsiSeq=241893&mokChaChk=N; https://www.easylaw.go.kr/CSP/IssueQaRetrieve.laf?issueqaSeq=110&targetRow=221&topMenu=openUl7,"Candidate is bounded by Korean general-road speed-limit ranges, but exact free-flow speed remains a reviewed modeling assumption.",500,literature-derived,FHWA HPMS Appendix N HCM-derived freeway and urban street capacity procedures,https://www.fhwa.dot.gov/ohim/hpmsmanl/appn1.cfm; https://www.fhwa.dot.gov/ohim/hpmsmanl/appn7.cfm,Screen current BPR capacity proxy against HCM-derived lane-capacity ranges; not Korean traffic-count calibration.,0.04,sensitivity-only,Current scenario disruption proxy pending hazard or incident review,src/realworld/attributes.py,Scenario sensitivity value only; not observed disruption probability.,candidate_only_not_reviewed,requires_source_review,not_formal_acceptance_evidence,false,false,false,"Road-class override source-candidate packet only; not a reviewed override table, not source-backed speed or capacity evidence, not calibrated disruption evidence, not proof that overrides were applied, and not publication, final-study, or formal acceptance evidence.","Confirm urban/rural context, lane count, signal/access effects, and disruption source before formal override use."
