task_id,gate_id,label,assigned_agent_id,assigned_agent,status,formal_target,review_packet,template_or_worksheet,blocker,action_type,required_output,validation_command,requires_human_review,can_mark_complete,claim_boundary
acceptance_task_001,pilot_region_accepted,Pilot Region Decision,pilot_region_privacy_review_agent,Pilot Region & Privacy Review Agent,blocked,data/manifests/pilot_acceptance.json,docs/review_packets/pilot_region_accepted.md,data/manifests/acceptance_templates/pilot_acceptance_template.json,create an explicit pilot decision record after privacy and case-scope review,create_or_supply_formal_evidence,reviewed JSON decision record with real evidence paths,.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_002,graph_scale_strategy,Graph-Scale Decision,graph_scale_method_review_agent,Graph Scale Method Review Agent,blocked,data/manifests/graph_scale_acceptance.json,docs/review_packets/graph_scale_strategy.md,data/manifests/acceptance_templates/graph_scale_acceptance_template.json,create an explicit graph-scale decision record after source-vs-analysis graph review,create_or_supply_formal_evidence,reviewed JSON decision record with real evidence paths,.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_003,data_provenance,Source/License/Provenance Decision,osm_source_license_provenance_review_agent,OSM / Source / License / Provenance Review Agent,blocked,data/manifests/provenance_acceptance.json,docs/review_packets/data_provenance.md,data/manifests/acceptance_templates/provenance_acceptance_template.json,"create an explicit provenance decision record after source, license, snapshot, privacy, and reproducibility review",create_or_supply_formal_evidence,reviewed JSON decision record with real evidence paths,.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_004,parameter_acceptance,Weak-Parameter Decision,road_rail_parameter_evidence_agent,Road / Rail / Parameter Evidence Agent,blocked,data/parameters/parameter_acceptance.csv,docs/review_packets/parameter_evidence.md,data/parameters/parameter_acceptance_template.csv,create reviewed parameter decision rows only for weak assumptions retained in release-scope claims,create_or_supply_formal_evidence,reviewed CSV rows with source-backed or explicitly retained values,.\.venv\Scripts\python tests\test_realworld_parameter_acceptance.py; .\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_005,parameter_acceptance,Weak-Parameter Decision,road_rail_parameter_evidence_agent,Road / Rail / Parameter Evidence Agent,blocked,data/parameters/parameter_acceptance.csv,docs/review_packets/parameter_evidence.md,data/parameters/parameter_acceptance_template.csv,parameter_acceptance.csv is missing,create_or_supply_formal_evidence,reviewed CSV rows with source-backed or explicitly retained values,.\.venv\Scripts\python tests\test_realworld_parameter_acceptance.py; .\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_006,road_class_overrides,Road-Class Override Decision,road_rail_parameter_evidence_agent,Road / Rail / Parameter Evidence Agent,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,"replace the draft road-class override worksheet with a reviewed road_class_overrides.csv table containing source-backed speed, capacity, and base-disruption evidence",replace_weak_or_scaffold_evidence,reviewed CSV rows with source-backed or explicitly retained values,.\.venv\Scripts\python scripts\audit_road_overrides.py; .\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_007,road_class_overrides,Road-Class Override Decision,road_rail_parameter_evidence_agent,Road / Rail / Parameter Evidence Agent,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,apply the reviewed overrides when adapting the pilot graph if release-scope claims require field-fit road inputs,apply_reviewed_input_and_regenerate,reviewed CSV rows with source-backed or explicitly retained values,.\.venv\Scripts\python scripts\audit_road_overrides.py; .\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_008,road_class_overrides,Road-Class Override Decision,road_rail_parameter_evidence_agent,Road / Rail / Parameter Evidence Agent,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,reviewed road-class override table is absent,create_or_supply_formal_evidence,reviewed CSV rows with source-backed or explicitly retained values,.\.venv\Scripts\python scripts\audit_road_overrides.py; .\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_009,validation_package,Benchmark Decision,validation_benchmark_strategy_agent,Benchmark Strategy Review Agent,blocked,data/manifests/validation_acceptance.json,docs/review_packets/validation_package.md,data/manifests/acceptance_templates/validation_acceptance_template.json,create an explicit benchmark decision record after benchmark-strategy review,create_or_supply_formal_evidence,reviewed JSON decision record with real evidence paths,.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
acceptance_task_010,sensitivity_analysis,Sensitivity Analysis Decision,sensitivity_analysis_review_agent,Sensitivity Analysis Review Agent,blocked,data/manifests/sensitivity_acceptance.json,docs/review_packets/sensitivity_analysis.md,data/manifests/acceptance_templates/sensitivity_acceptance_template.json,create an explicit sensitivity decision record after SALib output and Sobol-decision review,create_or_supply_formal_evidence,reviewed JSON decision record with real evidence paths,.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Sub-agent task assignments only. These rows assign review work; they do not approve evidence, certify licenses, validate calibration, or close final-study gates."
