parameter,accepted,accepted_by,accepted_date,acceptance_scope,claim_boundary,sensitivity_reviewed,evidence_paths,notes
road_free_flow_speed,true,reviewer-signed-formal-acceptance,2026-06-18,Weak road-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: expert assumption. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,Reviewer-signed formal acceptance. Parameter tables: parameter_sources.csv. Evidence category: assumption-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space.
road_capacity_proxy,true,reviewer-signed-formal-acceptance,2026-06-18,Weak road-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: expert assumption. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,Reviewer-signed formal acceptance. Parameter tables: parameter_sources.csv. Evidence category: assumption-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space.
background_traffic_multiplier,true,reviewer-signed-formal-acceptance,2026-06-18,Weak road-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: sensitivity-only. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,Reviewer-signed formal acceptance. Parameter tables: parameter_sources.csv. Evidence category: sensitivity-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space.
traffic_volume_window,true,reviewer-signed-formal-acceptance,2026-06-18,Weak road-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: expert assumption. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,Reviewer-signed formal acceptance. Parameter tables: parameter_sources.csv. Evidence category: assumption-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space.
disruption_probability,true,reviewer-signed-formal-acceptance,2026-06-18,Weak disruption-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: sensitivity-only. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,Reviewer-signed formal acceptance. Parameter tables: parameter_sources.csv. Evidence category: sensitivity-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space.
capacity_reduction_factor,true,reviewer-signed-formal-acceptance,2026-06-18,Weak disruption-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: sensitivity-only. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,Reviewer-signed formal acceptance. Parameter tables: parameter_sources.csv. Evidence category: sensitivity-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space.
blockage_rule,true,reviewer-signed-formal-acceptance,2026-06-18,Weak disruption-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: expert assumption. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,Reviewer-signed formal acceptance. Parameter tables: parameter_sources.csv. Evidence category: assumption-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space.
base_disruption_probability,true,reviewer-signed-formal-acceptance,2026-06-18,Weak disruption-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: expert assumption. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,Reviewer-signed formal acceptance. Parameter tables: parameter_sources.csv. Evidence category: assumption-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space.
bus_capacity,true,reviewer-signed-formal-acceptance,2026-06-18,Weak fleet-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: expert assumption. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,"Reviewer-signed formal acceptance. Parameter tables: fleet_assumptions.csv, parameter_sources.csv. Evidence category: assumption-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space."
direct_bus_fleet_size,true,reviewer-signed-formal-acceptance,2026-06-18,Weak fleet-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: expert assumption. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,"Reviewer-signed formal acceptance. Parameter tables: fleet_assumptions.csv, parameter_sources.csv. Evidence category: assumption-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space."
feeder_fleet_size,true,reviewer-signed-formal-acceptance,2026-06-18,Weak fleet-group parameter retained as bounded scenario assumption for decision-support study scope. Strongest source class: expert assumption. Morris sensitivity screening covers this parameter so conclusions are robust to its value within the explored range.,"Accepted as bounded scenario assumption for decision-support simulation; not operational routing, not calibrated real-world validation, not field-measured parameter value.",true,data/parameters/parameter_sources.csv;results/realworld_pilot/morris_summary.csv;data/parameters/parameter_evidence_review_packet.csv,"Reviewer-signed formal acceptance. Parameter tables: fleet_assumptions.csv, parameter_sources.csv. Evidence category: assumption-only. Morris sensitivity covers decision-relevant ranges per Phase T extended parameter space."
