source_id,source_name,source_type,review_status,source_url_or_citation,license_or_terms,local_artifact_count,missing_local_artifacts,snapshot_status,license_review_required,attribution_review_required,snapshot_review_required,privacy_review_required,reproducibility_review_required,required_reviewer_decision,target_acceptance_artifact,can_support_final_provenance_gate,publication_use_status,claim_boundary,notes
osm_overpass_road_snapshot,OpenStreetMap road graph via Overpass,public_map,cached_snapshot_pending_review,https://www.openstreetmap.org/copyright; https://overpass-api.de/,OpenStreetMap data is licensed under ODbL with attribution to OpenStreetMap contributors; Overpass service use requires responsible access.,6,,local_artifacts_present,true,true,true,false,true,"review source terms, attribution, snapshot date, and retained local artifacts",data/manifests/provenance_acceptance.json,false,"cached source pending license, attribution, and snapshot review","Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",Cache manifest records raw source graph size and bus-practical adapted graph counts are recorded in pilot result manifests.
pilot_region_spec,Repository pilot region specification,repository_input,repository_input_pending_review,data/regions/pilot_region.yaml; docs/pilot_region_data_card.md,Project-owned public/synthetic pilot specification.,2,,local_artifacts_present,false,false,true,true,true,"review project-owned assumptions, privacy abstraction, and claim boundary",data/manifests/provenance_acceptance.json,false,repository input pending human/source-scope review,"Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",Destination point is synthetic by design and requires privacy review before final claims.
parameter_source_tables,Repository parameter evidence tables,repository_input,repository_input_pending_review,data/parameters/parameter_sources.csv; data/parameters/fleet_assumptions.csv; data/parameters/rail_assumptions.csv; data/parameters/parameter_evidence_review_packet.csv; data/parameters/parameter_evidence_source_request_packet.csv; data/road/road_evidence_source_request_packet.csv,Project-owned parameter and assumption tables with source-class labels.,12,,local_artifacts_present,false,false,true,false,true,"review project-owned assumptions, privacy abstraction, and claim boundary",data/manifests/provenance_acceptance.json,false,repository input pending human/source-scope review,"Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",Parameter evidence audit currently reports 25 weak core parameters; the review packet plus parameter and road evidence source-request packets prioritize replacements or explicit acceptance without closing final-study gates.
seoul_station_binding_cache,Seoul Open Data Plaza station-name search extract,public_api,cached_snapshot_pending_review,https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,Seoul Open Data Plaza public data terms; attribution and source review required before final claims.,2,,local_artifacts_present,true,true,true,false,true,"review source terms, attribution, snapshot date, and retained local artifacts",data/manifests/provenance_acceptance.json,false,"cached source pending license, attribution, and snapshot review","Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.","Station binding audit reports binding_ready true, while rail-service evidence remains blocked."
seoul_shortest_path_api_context,Seoul Open Data Plaza Seoul Metro shortest-path API,public_api,context_only_not_cached,https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do; https://www.data.go.kr/en/data/15143842/openapi.do,Seoul Open Data Plaza public data terms; attribution required and cached extraction is required for reproducibility.,3,,context_only_not_cached,true,true,true,false,true,"cache a reproducible source extract with terms/attribution review, or exclude this context-only source from final-study claims",data/manifests/provenance_acceptance.json,false,context only; cannot support final claims until cached or excluded,"Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.","Derivation and optional key-required fetch code exist, but data/rail/pilot_rail_shortest_path_cache.csv is intentionally absent until reviewed extraction and raw-response retention."
seoul_timetable_api_context,Seoul subway timetable and train schedule public API context,public_api,context_only_not_cached,https://data.seoul.go.kr/dataList/32/literacyView.do; https://www.data.go.kr/en/data/15143847/openapi.do,Public data portal and Seoul Open Data terms; cached extraction is required for reproducibility.,4,,context_only_not_cached,true,true,true,false,true,"cache a reproducible source extract with terms/attribution review, or exclude this context-only source from final-study claims",data/manifests/provenance_acceptance.json,false,context only; cannot support final claims until cached or excluded,"Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.","Derivation, headway-only derivation, and optional key-required fetch code exist, but data/rail/pilot_rail_timetable_cache.csv is intentionally absent until reviewed extraction and raw-response retention."
ktdb_public_transport_gtfs_context,KTDB public transport GTFS dataset candidate,public_data,context_only_not_cached,https://www.ktdb.go.kr/www/selectPbldataChargerWebList.do?key=12&searchClStepCode=106; https://www.ktdb.go.kr/www/selectBbsNttView.do?bbsNo=2&key=45&nttNo=3772,"KTDB data-list and notice context; access route, license, attribution, and redistribution terms require reviewer confirmation before any GTFS artifact is cached or used.",5,,context_only_not_cached,true,true,true,false,true,"cache a reproducible source extract with terms/attribution review, or exclude this context-only source from final-study claims",data/manifests/provenance_acceptance.json,false,context only; cannot support final claims until cached or excluded,"Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.","KTDB pages indicate a public-transport GTFS data listing and a 2025 notice for 2023 baseline GTFS information, but the repository still requires reviewed acquisition, cache retention, SHA256 recording, stop/route/service-window review, and derivation before rail evidence can improve."
metro9_capacity_context,Seoul Metro Line 9 rolling stock context,operator_page,context_only_not_cached,https://www.metro9.co.kr/eng/sub03_02_01.do,Operator webpage context; source review and citation required before capacity claims.,2,,context_only_not_cached,true,true,true,false,true,"cache a reproducible source extract with terms/attribution review, or exclude this context-only source from final-study claims",data/manifests/provenance_acceptance.json,false,context only; cannot support final claims until cached or excluded,"Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",Current model uses a de-rated 500 passenger train-capacity proxy.
osrm_public_route_benchmark,OSRM public demo route benchmark snapshot,public_router,cached_snapshot_pending_review,"https://router.project-osrm.org/route/v1/driving/127.1002000,37.5133000;127.1025000,37.5180000?overview=false&alternatives=false&steps=false; https://router.project-osrm.org/route/v1/driving/127.1210000,37.5202000;127.1025000,37.5180000?overview=false&alternatives=false&steps=false; https://router.project-osrm.org/route/v1/driving/127.1210000,37.5202000;127.1302000,37.5166000?overview=false&alternatives=false&steps=false",OSRM public demo service is a plausibility reference only; not ground truth and not an operational dependency.,6,,local_artifacts_present,true,true,true,false,true,"review source terms, attribution, snapshot date, and retained local artifacts",data/manifests/provenance_acceptance.json,false,"cached source pending license, attribution, and snapshot review","Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.","Default validation keeps deterministic offline fallback separate from this optional live-router snapshot. The validation review packet summarizes fallback, OSRM, internal plausibility, accessibility, and benchmark-strategy blockers without accepting the validation gate."
structured_scenario_tables,Repository disruption and policy scenario tables,repository_input,repository_input_pending_review,data/scenarios/disruption_scenarios.csv; data/scenarios/policy_alternatives.csv; data/scenarios/sensitivity_design.csv; data/validation/sensitivity_review_packet.csv,Project-owned scenario and sensitivity design tables.,6,,local_artifacts_present,false,false,true,true,true,"review project-owned assumptions, privacy abstraction, and claim boundary",data/manifests/provenance_acceptance.json,false,repository input pending human/source-scope review,"Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",Final claims require scenario review and acceptance of the graph-scale and evidence boundaries. The sensitivity review packet summarizes Morris diagnostic blockers but does not accept sensitivity evidence.
reproducibility_package,Repository reproducibility package,repository_input,repository_input_pending_review,docs/reproducibility_package.md; data/manifests/reproducibility_manifest.json,Project-owned reproducibility documentation and manifest.,6,,local_artifacts_present,false,false,true,false,true,"review project-owned assumptions, privacy abstraction, and claim boundary",data/manifests/provenance_acceptance.json,false,repository input pending human/source-scope review,"Source/license review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.","The reproducibility review packet records scaffold scope, Git worktree state, untracked artifact risk, runtime import boundary, and clean-checkout execution scope without accepting the gate. The reproducibility acceptance record is intentionally absent until final review."
