source_id,source_name,source_type,review_status,url_index,url,check_mode,url_status,http_status,final_url,content_type,checked_at,target_acceptance_artifact,requires_reviewer_confirmation,can_support_final_provenance_gate,claim_boundary,notes
osm_overpass_road_snapshot,OpenStreetMap road graph via Overpass,public_map,cached_snapshot_pending_review,1,https://www.openstreetmap.org/copyright,not_checked,not_checked,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",offline parse-only row; run script with --live to record reachability
osm_overpass_road_snapshot,OpenStreetMap road graph via Overpass,public_map,cached_snapshot_pending_review,2,https://overpass-api.de/,not_checked,not_checked,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",offline parse-only row; run script with --live to record reachability
pilot_region_spec,Repository pilot region specification,repository_input,repository_input_pending_review,0,,not_checked,no_url_detected,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",source_url_or_citation does not contain an HTTP(S) URL
parameter_source_tables,Repository parameter evidence tables,repository_input,repository_input_pending_review,0,,not_checked,no_url_detected,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",source_url_or_citation does not contain an HTTP(S) URL
seoul_station_binding_cache,Seoul Open Data Plaza station-name search extract,public_api,cached_snapshot_pending_review,1,https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,not_checked,not_checked,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",offline parse-only row; run script with --live to record reachability
seoul_shortest_path_api_context,Seoul Open Data Plaza Seoul Metro shortest-path API,public_api,context_only_not_cached,1,https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do,not_checked,not_checked,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",offline parse-only row; run script with --live to record reachability
seoul_shortest_path_api_context,Seoul Open Data Plaza Seoul Metro shortest-path API,public_api,context_only_not_cached,2,https://www.data.go.kr/en/data/15143842/openapi.do,not_checked,not_checked,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",offline parse-only row; run script with --live to record reachability
seoul_timetable_api_context,Seoul subway timetable and train schedule public API context,public_api,context_only_not_cached,1,https://data.seoul.go.kr/dataList/32/literacyView.do,not_checked,not_checked,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",offline parse-only row; run script with --live to record reachability
seoul_timetable_api_context,Seoul subway timetable and train schedule public API context,public_api,context_only_not_cached,2,https://www.data.go.kr/en/data/15143847/openapi.do,not_checked,not_checked,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",offline parse-only row; run script with --live to record reachability
metro9_capacity_context,Seoul Metro Line 9 rolling stock context,operator_page,context_only_not_cached,1,https://www.metro9.co.kr/eng/sub03_02_01.do,not_checked,not_checked,,,,,data/manifests/provenance_acceptance.json,true,false,"Source URL review packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",offline parse-only row; run script with --live to record reachability
