source_id,source_name,source_type,source_url,accessed_date,used_for,evidence_summary,limitations
pilot_region_spec,Pilot region rail points and model values,repository_input,data/regions/pilot_region.yaml,2026-05-03,rail access egress headway travel time capacity availability,Defines S Olympic Park Station area R Jamsil Station area and current fixed rail service values,Scenario specification only and not external validation
seoul_station_dataset,Seoul Data Hub line-by-station information,public_data,https://data.seoul.go.kr/bsp/wgs/dataView/data300View/10104.do,2026-05-03,station traceability,Provides Seoul Metro line-by-station information for lines 1-8 and Line 9 phases 2-3,General station context only; pilot station-code binding is handled by the cached station-name search extract
seoul_subway_info_group,Seoul Open Data subway information group,public_data,https://data.seoul.go.kr/dataList/32/literacyView.do,2026-05-03,GTFS and timetable status,Lists subway station information sources and delivery modes including Sheet OpenAPI and File,A cached static-GTFS derivation path now exists; this source page does not by itself provide a committed reviewed GTFS feed or parsed pilot timing evidence
data_go_kr_seoul_train_schedule,Public Data Portal Seoul Subway train schedule API,public_api,https://www.data.go.kr/en/data/15143847/openapi.do,2026-05-04,headway and travel-time evidence context,Lists a REST API for Seoul Subway train schedule lookup with station operation times direction train numbers and departure-arrival fields,Optional fetch and headway-only derivation code exists; no reviewed timetable cache is committed in this repository
seoul_station_timetable_api,Seoul Data Hub station-code train timetable API,public_api,https://data.seoul.go.kr/bsp/wgs/dataView/data300View/527.do,2026-05-03,headway evidence context,Describes station-code train timetable lookup for Seoul subway stations,Live API not called in default tests and headway is not parsed yet
seoul_current_timetable_api,Seoul Data Hub subway train timetable API,public_api,https://data.seoul.go.kr/bsp/wgs/dataView/data300View/100204.do,2026-05-03,headway evidence context,Describes station train timetable records with line direction day and train fields,Live API not called in default tests and no cached timetable extract exists
seoul_shortest_path_api,Seoul Open Data Plaza Seoul Metro shortest-path API,public_api,https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do,2026-05-04,travel-time evidence context,Dataset page describes station-to-station subway route outputs for minimum time shortest distance and minimum transfer paths with section-level station travel-time distance and transfer fields,No station-to-station result has been parsed or cached in this repo
metro9_station_schedule,Seoul Metro Line 9 station and schedule pages,operator_page,https://www.metro9.co.kr/prog/subwayTm/eng/sub01_02/list.do,2026-05-03,access station and schedule context,Lists Line 9 stations including Olympic Park and exposes a schedule page,Page is operator context only and does not validate the full S to R itinerary
metro9_rolling_stock,Seoul Metro Line 9 rolling stock overview,operator_page,https://www.metro9.co.kr/eng/sub03_02_01.do,2026-05-03,capacity context,Lists six-car train configuration and total capacity of 922 passengers,Current model uses de-rated 500 passenger capacity and not full crush or emergency capacity
seoul_jamsil_usage,Seoul Metropolitan Government Jamsil passenger report,agency_news,https://english.seoul.go.kr/jamsil-and-seongsu-crowned-as-seouls-busiest-subway-stations/,2026-05-03,Jamsil station context,Reports Jamsil Station Line 2 in Seoul Metro 2024 passenger statistics,Usage context only and not a capacity or emergency availability source
rail_station_binding_cache,Rail station binding cache,repository_input,data/parameters/rail_station_bindings.csv,2026-05-04,station binding readiness,Records official line-specific station-code bindings for S and R from the cached station-name search extract,Station binding only; does not provide rail headway travel time capacity or service availability evidence
