gate_id,label,assigned_agent_id,assigned_agent,formal_target,formal_status,formal_record_present,formal_ready,blocker_count,template_or_worksheet,review_packets,source_paths,reviewed_inputs,required_actions,validation_commands,human_decision_required,can_mark_complete,claim_boundary
pilot_region_accepted,Pilot Region Acceptance,pilot_region_privacy_review_agent,Pilot Region & Privacy Review Agent,data/manifests/pilot_acceptance.json,blocked,false,false,1,data/manifests/acceptance_templates/pilot_acceptance_template.json,docs/review_packets/pilot_region_accepted.md,data/regions/pilot_region.yaml; docs/pilot_region_data_card.md; data/manifests/pilot_acceptance.json,data/regions/pilot_region.yaml; docs/pilot_region_data_card.md; docs/current_goal_completion_audit.md,"Record an explicit pilot acceptance decision with reviewer, scope, privacy review, evidence paths, and not-operational claim boundary.; create an explicit pilot acceptance record after privacy and case-scope review",.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
graph_scale_strategy,Graph-Scale Acceptance,graph_scale_method_review_agent,Graph Scale Method Review Agent,data/manifests/graph_scale_acceptance.json,blocked,false,false,1,data/manifests/acceptance_templates/graph_scale_acceptance_template.json,docs/review_packets/graph_scale_strategy.md; data/validation/graph_scale_review_packet.csv; data/validation/full_graph_runtime_readiness_packet.csv; data/validation/graph_scale_manifest_audit.csv; data/validation/graph_scale_strategy_readiness_packet.csv,results/realworld_pilot/pilot_full_manifest.json; data/validation/graph_scale_route_comparison.csv; data/validation/graph_scale_alternate_routes.csv; data/validation/graph_scale_multi_corridor_routes.csv; data/validation/full_graph_runtime_readiness_packet.csv; data/validation/graph_scale_manifest_audit.csv; data/validation/graph_scale_strategy_readiness_packet.csv; data/validation/graph_scale_result_comparison.csv; data/manifests/graph_scale_acceptance.json,docs/analysis_corridor_method_note.md; docs/graph_scale_diagnostics.md; docs/graph_scale_manifest_audit.md; data/validation/graph_scale_review_packet.csv; data/validation/full_graph_runtime_readiness_manifest.json; data/validation/graph_scale_manifest_audit_manifest.json; data/validation/graph_scale_strategy_readiness_manifest.json; data/validation/graph_scale_result_comparison.csv; data/validation/graph_scale_result_comparison_manifest.json,"Choose and document reduced-corridor, multi-corridor, or full-graph strategy.; Create graph_scale_acceptance.json with matching graph counts and evidence paths.; create an explicit graph-scale acceptance record after source-vs-analysis graph review",.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
data_provenance,Source/License/Provenance Acceptance,osm_source_license_provenance_review_agent,OSM / Source / License / Provenance Review Agent,data/manifests/provenance_acceptance.json,blocked,false,false,1,data/manifests/acceptance_templates/provenance_acceptance_template.json,docs/review_packets/data_provenance.md,data/manifests/source_provenance_manifest.json; data/manifests/reproducibility_manifest.json; data/cache/pilot_region_road_manifest.json; cloned_repo_manifest.md; data/manifests/provenance_acceptance.json,data/manifests/source_provenance_manifest.json; data/manifests/reproducibility_manifest.json; docs/reproducibility_package.md; cloned_repo_manifest.md,"Review source URLs, licenses, attribution, local snapshots, privacy abstraction, and reproducibility scope.; Create data/manifests/provenance_acceptance.json only after source-backed review.; create an explicit provenance acceptance record after source, license, snapshot, privacy, and reproducibility review",.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
parameter_acceptance,Weak-Parameter Acceptance,road_rail_parameter_evidence_agent,Road / Rail / Parameter Evidence Agent,data/parameters/parameter_acceptance.csv,blocked,false,false,2,data/parameters/parameter_acceptance_template.csv,docs/review_packets/parameter_evidence.md; data/parameters/parameter_evidence_review_packet.csv; data/parameters/parameter_source_readiness_packet.csv; data/parameters/parameter_evidence_priority_packet.csv; data/parameters/road_evidence_review_packet.csv; data/road/road_source_readiness_packet.csv; data/road/road_evidence_priority_packet.csv; data/parameters/rail_evidence_review_packet.csv; data/rail/rail_fetch_readiness_packet.csv; data/rail/rail_evidence_priority_packet.csv; docs/review_packets/cached_osm_input.md; docs/review_packets/rail_evidence.md,data/parameters/parameter_sources.csv; data/parameters/road_class_overrides_draft.csv; data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; data/parameters/parameter_source_readiness_packet.csv; data/parameters/parameter_evidence_priority_packet.csv; data/road/road_source_readiness_packet.csv; data/road/road_evidence_priority_packet.csv; data/rail/rail_fetch_readiness_packet.csv; data/rail/rail_evidence_priority_packet.csv; data/parameters/parameter_acceptance.csv,data/parameters/parameter_evidence_review_packet.csv; data/parameters/parameter_evidence_source_request_packet.csv; data/parameters/parameter_source_readiness_manifest.json; data/parameters/parameter_evidence_priority_manifest.json; data/parameters/road_evidence_review_packet.csv; data/road/road_evidence_source_request_packet.csv; data/road/road_source_readiness_manifest.json; data/road/road_evidence_priority_manifest.json; data/parameters/rail_evidence_review_packet.csv; data/rail/rail_timing_source_request_packet.csv; data/rail/rail_fetch_readiness_manifest.json; data/rail/rail_evidence_priority_manifest.json,"Replace weak road, rail, and parameter assumptions with source-backed evidence or explicit accepted overrides.; Create road_class_overrides.csv and parameter_acceptance.csv only after review.; create reviewed parameter acceptance records only for weak assumptions retained in final claims; parameter_acceptance.csv is missing",.\.venv\Scripts\python tests\test_realworld_parameter_acceptance.py; .\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
road_class_overrides,Road-Class Override Acceptance,road_rail_parameter_evidence_agent,Road / Rail / Parameter Evidence Agent,data/parameters/road_class_overrides.csv,blocked,false,false,3,data/parameters/road_class_overrides_draft.csv,docs/review_packets/cached_osm_input.md; data/parameters/parameter_evidence_review_packet.csv; data/parameters/parameter_source_readiness_packet.csv; data/parameters/parameter_evidence_priority_packet.csv; data/parameters/road_evidence_review_packet.csv; data/road/road_source_readiness_packet.csv; data/road/road_evidence_priority_packet.csv; data/parameters/rail_evidence_review_packet.csv; data/rail/rail_fetch_readiness_packet.csv; data/rail/rail_evidence_priority_packet.csv; docs/review_packets/parameter_evidence.md; docs/review_packets/rail_evidence.md,data/parameters/parameter_sources.csv; data/parameters/road_class_overrides_draft.csv; data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; data/parameters/parameter_source_readiness_packet.csv; data/parameters/parameter_evidence_priority_packet.csv; data/road/road_source_readiness_packet.csv; data/road/road_evidence_priority_packet.csv; data/rail/rail_fetch_readiness_packet.csv; data/rail/rail_evidence_priority_packet.csv; data/parameters/road_class_overrides.csv,data/parameters/parameter_evidence_review_packet.csv; data/parameters/parameter_evidence_source_request_packet.csv; data/parameters/parameter_source_readiness_manifest.json; data/parameters/parameter_evidence_priority_manifest.json; data/parameters/road_evidence_review_packet.csv; data/road/road_evidence_source_request_packet.csv; data/road/road_source_readiness_manifest.json; data/road/road_evidence_priority_manifest.json; data/parameters/rail_evidence_review_packet.csv; data/rail/rail_timing_source_request_packet.csv; data/rail/rail_fetch_readiness_manifest.json; data/rail/rail_evidence_priority_manifest.json,"Replace weak road, rail, and parameter assumptions with source-backed evidence or explicit accepted overrides.; Create road_class_overrides.csv and parameter_acceptance.csv only after review.; replace the draft road-class override worksheet with a reviewed road_class_overrides.csv table containing source-backed speed, capacity, and base-disruption evidence; apply the reviewed overrides when adapting the pilot graph if final claims require calibrated road inputs; reviewed road-class override table is absent",.\.venv\Scripts\python scripts\audit_road_overrides.py; .\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
validation_package,Validation Acceptance,validation_benchmark_strategy_agent,Validation Benchmark Strategy Agent,data/manifests/validation_acceptance.json,blocked,false,false,1,data/manifests/acceptance_templates/validation_acceptance_template.json,docs/review_packets/validation_package.md; data/validation/validation_review_packet.csv; data/validation/validation_strategy_readiness_packet.csv; data/validation/validation_benchmark_readiness_packet.csv,data/validation/validation_review_packet.csv; data/validation/validation_strategy_readiness_packet.csv; data/validation/validation_benchmark_readiness_packet.csv; data/validation/osrm_route_benchmark_manifest.json; data/validation/accessibility_loss.csv; data/validation/canonical_route_road_evidence_exposure.csv; data/manifests/validation_acceptance.json,docs/validation_review_packet.md; docs/validation_strategy_readiness_packet.md; docs/validation_benchmark_readiness_packet.md; docs/osrm_route_benchmark_manifest.md; data/validation/validation_review_manifest.json; data/validation/validation_strategy_readiness_manifest.json; data/validation/validation_benchmark_readiness_manifest.json,"Review validation thresholds, benchmark scope, snapshot pinning, and failure cases.; Create validation_acceptance.json after benchmark-strategy review.; create an explicit validation acceptance record after benchmark-strategy review",.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
sensitivity_analysis,Sensitivity Acceptance,sensitivity_analysis_review_agent,Sensitivity Analysis Review Agent,data/manifests/sensitivity_acceptance.json,blocked,false,false,1,data/manifests/acceptance_templates/sensitivity_acceptance_template.json,docs/review_packets/sensitivity_analysis.md; data/validation/sensitivity_review_packet.csv; data/validation/sensitivity_index_review_packet.csv; data/validation/sensitivity_strategy_readiness_packet.csv,results/realworld_pilot/morris_manifest.json; results/realworld_pilot/morris_results.csv; results/realworld_pilot/morris_summary.csv; data/validation/sensitivity_strategy_readiness_packet.csv; data/validation/sensitivity_index_review_packet.csv; data/manifests/sensitivity_acceptance.json,data/validation/sensitivity_review_packet.csv; data/validation/sensitivity_review_manifest.json; data/validation/sensitivity_index_review_manifest.json; docs/sensitivity_index_review_packet.md; data/validation/sensitivity_strategy_readiness_manifest.json; scripts/run_sensitivity.py,Review parameter ranges and decide whether Morris is enough or Sobol is required.; Create sensitivity_acceptance.json after final input and graph scope are accepted.; create an explicit sensitivity acceptance record after SALib output and Sobol-decision review,.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
full_experiment_output,Experiment Acceptance,full_experiment_package_agent,Full Experiment Package Agent,data/manifests/experiment_acceptance.json,blocked,false,false,1,data/manifests/acceptance_templates/experiment_acceptance_template.json,docs/review_packets/full_experiment_output.md; data/manifests/experiment_package_review_packet.csv; data/manifests/experiment_strategy_readiness_packet.csv,results/realworld_pilot/pilot_full_manifest.json; results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_summary.csv; data/manifests/experiment_package_review_packet.csv; data/manifests/experiment_strategy_readiness_packet.csv; data/manifests/experiment_acceptance.json,scripts/run_pilot_experiments.py; data/scenarios/disruption_scenarios.csv; data/scenarios/policy_alternatives.csv; data/manifests/experiment_package_review_manifest.json; data/manifests/experiment_strategy_readiness_manifest.json,"Regenerate or accept full outputs after input, graph-scale, and validation gates close.; Create experiment_acceptance.json with matching run profile and row counts.; create an explicit experiment acceptance record after input validation, graph-scope, and scenario-policy-seed review",.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
manuscript_report_alignment,Manuscript/Report Acceptance,paper_report_claim_alignment_agent,Paper / Report Claim Alignment Agent,data/manifests/manuscript_acceptance.json,blocked,false,false,1,data/manifests/acceptance_templates/manuscript_acceptance_template.json,docs/review_packets/manuscript_report_alignment.md; data/manifests/claim_alignment_review_packet.csv,paper/paper_draft.md; report_draft.md; report.docx; results/realworld_pilot/tables/figure_table_manifest.json; data/manifests/claim_alignment_review_packet.csv; data/manifests/manuscript_acceptance.json,scripts/audit_publication_readiness.py; docs/current_goal_completion_audit.md; paper/paper_draft.md; report_draft.md; data/manifests/claim_alignment_review_manifest.json,"Revise or hold claims until all supporting evidence gates are accepted.; Create manuscript_acceptance.json after claim-by-claim review.; create an explicit manuscript/report acceptance record after evidence gates, figures, paper, report, and claim boundaries are reviewed",.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
reproducibility,Reproducibility Acceptance,clean_checkout_reproducibility_agent,Clean-Checkout Reproducibility Agent,data/manifests/reproducibility_acceptance.json,blocked,false,false,1,data/manifests/acceptance_templates/reproducibility_acceptance_template.json,docs/review_packets/reproducibility.md; data/validation/reproducibility_review_packet.csv; data/validation/tracked_artifact_audit.csv,data/manifests/reproducibility_manifest.json; data/validation/reproducibility_review_manifest.json; data/validation/reproducibility_smoke_manifest.json; data/validation/clean_checkout_reproducibility_smoke_manifest.json; data/validation/tracked_artifact_audit_manifest.json; docs/reproducibility_package.md; requirements.txt; data/manifests/reproducibility_acceptance.json,docs/reproducibility_package.md; data/manifests/reproducibility_manifest.json; data/validation/reproducibility_review_packet.csv; data/validation/tracked_artifact_audit.csv; scripts/audit_plan_artifacts.py,"Run or document clean-checkout validation with command log and artifact regeneration evidence.; Create reproducibility_acceptance.json only after accepted reproduction scope is complete.; create an explicit reproducibility acceptance record after clean-checkout validation, artifact regeneration, manifest review, and import-boundary checks",.\.venv\Scripts\python scripts\validate_formal_acceptance_package.py,true,false,"Formal acceptance evidence matrix only. Rows connect each required formal artifact to review packets, templates, agents, blockers, and validation commands. They do not approve evidence, certify sources, calibrate results, or close final-study gates."
