policy_id,scenario_type,decision_interpretation,claim_boundary,network_variant,bus_fleet_size,bus_fleet_multiplier,bus_dispatch_interval_min,bus_first_departure_min,bus_turnaround_min,multimodal_shuttle_fleet_size,multimodal_shuttle_fleet_multiplier,multimodal_shuttle_dispatch_interval_min,multimodal_shuttle_first_departure_min,multimodal_shuttle_turnaround_min,multimodal_transfer_time_min,multimodal_transfer_time_delta_min,multimodal_transfer_per_passenger_min,multimodal_rail_first_departure_min,multimodal_lastmile_fleet_size,multimodal_lastmile_fleet_multiplier,multimodal_lastmile_dispatch_interval_min,multimodal_lastmile_first_departure_min,multimodal_lastmile_turnaround_min,multimodal_lastmile_vehicle_capacity,multimodal_lastmile_vehicle_capacity_multiplier,rail_travel_time_multiplier,rail_travel_time_delta_min,rail_headway_multiplier,rail_capacity_multiplier,traffic_background_volume_multiplier,failure_mode,failure_capacity_reduction_factor,notes
bus_only,bus_only,Use direct road vehicles from assembly zone A to destination zone D with the baseline road fleet and schedule.,Decision support comparator only; outcomes depend on congestion disruption severity and fleet assumptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baseline direct road option for paired comparison.
baseline_multimodal,multimodal,Use feeder shuttles to rail access S then scheduled rail to R and last-mile road vehicles to D under baseline assumptions.,Conditional multimodal comparator only; it can be robust or fragile depending on access roads rail service transfers and last-mile capacity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baseline rail-bus option for paired comparison.
multimodal_lastmile_redundancy,multimodal,Add redundant last-mile vehicle availability after rail egress to test whether R to D road capacity is the bottleneck.,Tests one bottleneck relief mechanism; it does not assume redundancy is cost effective or generally faster.,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,Scales last-mile fleet upward while leaving feeder rail and transfer assumptions unchanged.
staggered_or_adaptive_dispatch,multimodal,Space feeder departures and release last-mile vehicles on demand when rail batches arrive to reduce schedule bunching.,Represents a deterministic dispatch variant only; benefits may disappear under different arrival rail or road conditions.,,,,,,,,,10.0,,,,,,,,,0.0,,,,,,,,,,,,Uses existing on-demand last-mile behavior when interval is zero.
multimodal_increased_feeder_capacity,multimodal,Increase feeder shuttle fleet availability from A to S to test whether access to rail constrains multimodal performance.,Only isolates feeder capacity sensitivity; it does not resolve rail transfer or last-mile bottlenecks by itself.,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,Scales shuttle fleet upward and leaves downstream resources unchanged.
bus_corridor_redundancy,bus_only,Use a road-network variant with additional direct-road corridor redundancy where such a variant has been documented.,Applicable only when the network variant represents a documented corridor option; it is not a calibrated route plan.,matched_redundancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For abstract tests this maps to the matched_redundancy variant; real-world pilots need an accepted equivalent graph.
rail_delay_or_partial_unavailability,multimodal,Stress multimodal reliance on rail by lengthening rail travel and headway while reducing assumed train capacity.,Scenario stress test only; it does not predict actual agency service availability during emergencies.,,,,,,,,,,,,,,,,,,,,,,,1.25,,1.5,0.75,,,,Keeps rail available but degraded to expose conditional resilience limits.
fleet_shortage_stress,multimodal,Reduce feeder and last-mile vehicle availability to test how constrained road fleets affect multimodal completion.,Stress case for sensitivity analysis only; it should be compared against matched assumptions and not read as a forecast.,,,,,,,,0.75,,,,,,,,,0.75,,,,,,,,,,,,,Uses deterministic scaling with at least one vehicle retained after rounding.
peak_congestion_bus,bus_only,Simulate peak-hour road congestion with high background traffic volume on bus-only transport.,Stress test for road-only capacity under congestion; not an observed traffic forecast.,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,Background volume multiplied by 8x to simulate peak-hour congestion on all road links; tests whether bus-only degrades under congestion.
peak_congestion_multimodal,multimodal,Simulate peak-hour road congestion with high background traffic volume on multimodal transport.,Tests whether rail bypass provides resilience advantage when road links are congested.,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,Background volume multiplied by 8x on road links; rail segment is immune to road congestion; tests the conditional multimodal advantage hypothesis.
moderate_congestion_bus,bus_only,Simulate moderate road congestion on bus-only transport at 2x background volume.,Intermediate congestion test for threshold identification.,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2x background volume tests early congestion response for bus-only.
moderate_congestion_multimodal,multimodal,Simulate moderate road congestion on multimodal transport at 2x background volume.,Intermediate congestion test for threshold identification.,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2x background volume tests early congestion response for multimodal.
heavy_congestion_bus,bus_only,Simulate heavy road congestion on bus-only transport at 4x background volume.,Heavy congestion test near expected threshold.,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4x background volume probes near the expected bus-multimodal crossover.
heavy_congestion_multimodal,multimodal,Simulate heavy road congestion on multimodal transport at 4x background volume.,Heavy congestion test near expected threshold.,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4x background volume probes near the expected bus-multimodal crossover.
severe_congestion_bus,bus_only,Simulate severe road congestion on bus-only transport at 6x background volume.,Severe congestion test between heavy and peak.,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,6x background volume fills gap between 4x and 8x for bus-only.
severe_congestion_multimodal,multimodal,Simulate severe road congestion on multimodal transport at 6x background volume.,Severe congestion test between heavy and peak.,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,6x background volume fills gap between 4x and 8x for multimodal.
transfer_stress_mild,multimodal,Add mild transfer friction with +3 min fixed delay and +0.5 min per passenger to test whether small transfer overhead degrades multimodal completion.,Sensitivity stress test only; transfer delay assumptions are unvalidated and do not predict actual station processing times.,,,,,,,,,,,,,,3.0,0.5,,,,,,,,,,,,,,,Delta adds 3 min to default 5 min fixed = 8 min fixed plus 0.5 min per passenger; tests mild transfer degradation.
transfer_stress_moderate,multimodal,Add moderate transfer friction with +6 min fixed delay and +1.0 min per passenger to expose transfer timing sensitivity under crowd loading.,Sensitivity stress test only; increased per-passenger friction is an assumption proxy for crowding or accessibility delays.,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,Delta adds 6 min to default 5 min fixed = 11 min fixed plus 1.0 min per passenger; tests moderate transfer degradation.
transfer_stress_severe,multimodal,Add severe transfer friction with +10 min fixed delay and +2.0 min per passenger to stress multimodal reliance on efficient station transfer.,Stress test for resilience bounds only; does not represent a calibrated station scenario or operational transfer plan.,,,,,,,,,,,,,,10.0,2.0,,,,,,,,,,,,,,,Delta adds 10 min to default 5 min fixed = 15 min fixed plus 2.0 min per passenger; tests severe transfer bottleneck.
transfer_stress_extreme,multimodal,Add extreme transfer friction with +15 min fixed delay and +3.0 min per passenger to test multimodal collapse under transfer bottleneck.,Extreme stress test for resilience envelope only; values exceed plausible real-world transfer and represent worst-case sensitivity bounds.,,,,,,,,,,,,,,15.0,3.0,,,,,,,,,,,,,,,Delta adds 15 min to default 5 min fixed = 20 min fixed plus 3.0 min per passenger; tests extreme transfer collapse.
fleet_shortage_severe,multimodal,Severe fleet reduction at 0.50x for both feeder and last-mile to test multimodal collapse under extreme fleet constraint.,Stress test for resilience bounds only; extreme shortage does not represent a calibrated operational scenario.,,,,,,,,0.50,,,,,,,,,0.50,,,,,,,,,,,,,Severe fleet shortage at 0.50x for both feeder and last-mile; tests multimodal collapse under extreme fleet constraint.
lastmile_capacity_mild,multimodal,Reduce last-mile vehicle capacity to 35 passengers to test sensitivity to vehicle size at mild level.,Sensitivity stress test only; vehicle capacity assumptions are unvalidated.,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,Mild last-mile capacity reduction to 35 passengers per vehicle; tests sensitivity to vehicle size.
lastmile_capacity_moderate,multimodal,Reduce last-mile vehicle capacity to 25 passengers to test sensitivity to vehicle size at moderate level.,Sensitivity stress test only; vehicle capacity assumptions are unvalidated.,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,Moderate last-mile capacity reduction to 25 passengers per vehicle; tests sensitivity to vehicle size.
lastmile_capacity_severe,multimodal,Reduce last-mile vehicle capacity to 15 passengers to test multimodal collapse under severe vehicle capacity constraint.,Sensitivity stress test only; vehicle capacity assumptions are unvalidated.,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,Severe last-mile capacity reduction to 15 passengers per vehicle; tests multimodal collapse under extreme vehicle capacity constraint.
