check_id,status,observed,expected,review_action,evidence_paths,claim_boundary
manifest_present,pass,results/realworld_pilot/pilot_full_manifest.json,pilot full manifest exists,Include the manifest in the experiment decision-review packet.,results/realworld_pilot/pilot_full_manifest.json,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
results_present,pass,results/realworld_pilot/pilot_full_results.csv,pilot full results CSV exists,Include result CSV and checksum in the experiment decision-review packet.,results/realworld_pilot/pilot_full_results.csv,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
crn_declared_in_manifest,pass,True,scenario_policy_seed_design.common_random_numbers=true,Confirm the declared same-seed design is retained in the formal experiment decision record.,results/realworld_pilot/pilot_full_manifest.json,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
seed_stream_source_markers,needs_human_review,arrival=default_rng(seed); failure=default_rng(seed + 10_000),separate arrival and failure RNG streams derived from same seed,Review source code to confirm all compared policies use the same seed-derived demand and disruption streams.,src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
region_set_matches_manifest,pass,songpa_public_demo,songpa_public_demo,Resolve region mismatch before treating the result table as the manifested experiment package.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
graph_source_set_matches_manifest,pass,cached_graphml:data/cache/pilot_region_road.graphml,cached_graphml:data/cache/pilot_region_road.graphml,Resolve graph-source mismatch before paired policy or graph-scope claims.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
row_count_matches_design,pass,1890,1890,Regenerate results or revise manifest if row counts differ.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
policy_set_matches_manifest,pass,"baseline_multimodal, bus_only, fleet_shortage_stress, multimodal_increased_feeder_capacity, multimodal_lastmile_redundancy, rail_delay_or_partial_unavailability, staggered_or_adaptive_dispatch","bus_only, baseline_multimodal, multimodal_lastmile_redundancy, staggered_or_adaptive_dispatch, multimodal_increased_feeder_capacity, rail_delay_or_partial_unavailability, fleet_shortage_stress",Resolve policy inclusion/exclusion before the experiment decision.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
scenario_set_matches_manifest,pass,"no_disruption, songpa_access_origin_to_destination, songpa_access_origin_to_station, songpa_critical_link_blockage, songpa_last_mile_station_to_destination, songpa_rail_station_access, songpa_random_blockage, songpa_random_capacity_reduction, songpa_spatial_tancheon_corridor","no_disruption, songpa_random_capacity_reduction, songpa_random_blockage, songpa_critical_link_blockage, songpa_access_origin_to_station, songpa_access_origin_to_destination, songpa_last_mile_station_to_destination, songpa_rail_station_access, songpa_spatial_tancheon_corridor",Resolve scenario inclusion/exclusion before the experiment decision.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
seed_set_matches_manifest,pass,"3101, 3102, 3103, 3104, 3105, 3106, 3107, 3108, 3109, 3110, 3111, 3112, 3113, 3114, 3115, 3116, 3117, 3118, 3119, 3120, 3121, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 3129, 3130","3101, 3102, 3103, 3104, 3105, 3106, 3107, 3108, 3109, 3110, 3111, 3112, 3113, 3114, 3115, 3116, 3117, 3118, 3119, 3120, 3121, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 3129, 3130",Resolve seed-set mismatch before paired policy claims.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
scenario_seed_policy_completeness,pass,none,every scenario/seed group has every expected policy exactly once,Regenerate missing policy rows before paired policy claims.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
policy_scenario_seed_completeness,pass,none,every policy/scenario group has every expected seed exactly once,Regenerate missing seed rows before confidence intervals.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
duplicate_policy_scenario_seed_rows,pass,none,no duplicate region/graph/policy/scenario/seed rows,Remove or explain duplicate result rows before the experiment decision.,results/realworld_pilot/pilot_full_results.csv; results/realworld_pilot/pilot_full_manifest.json; src/scenario.py,"This audit checks structural common-random-number pairing in result files and seed-splitting source markers. It does not prove statistical power, prove stochastic model adequacy, approve an experiment decision, or close study-closeout gates."
