area,item,current_state,evidence,decision,next_action
root_simulation_core,committed source/tests/data,present and integrity-checked,"present-file audit reports 0 failures; smoke tests passed","use current repository root as authoritative simulation core","do not duplicate into transport_simulation_core"
transport_simulation_core,folder layout,absent,"high_risk_path_check_20260602.csv marks path missing; reconstruction matrix maps most prior files to root equivalents","do not bulk-recreate folder","only restore specific non-equivalent files if needed"
transport_simulation_core,compact non-arrival scripts/tests,missing without root equivalents,"transport_core_reconstruction_decision_20260602.md lists 6 missing script/test paths","reimplement tests-first only if compact non-arrival scope remains required","search session content before reimplementation; otherwise write new scoped tests and scripts"
transport_simulation_core,gate2 generated outputs,missing generated artifacts,"transport_core_reconstruction_decision_20260602.md lists 13 generated artifacts","do not reconstruct from filenames","regenerate only after inputs/scripts/scope are verified"
event_transport_contest,2026 rail/transport/logistics contest folder,absent in current repo,"high_risk_path_check_20260602.csv marks folder missing; prior path log lists event files","not recovered","if still needed, rebuild from verified sources and rerun pipeline; if submitted/abandoned, leave unavailable"
event_transport_contest,C:\project contest recovery candidates,no direct matching event artifacts found,"targeted rg over contest_clean_20260602, contest_fresh_recovery_20260602, contest_recovery, and C:\project\contest found no event_transport/event_realworld/arrival_guarantee target files","not a direct recovery source","do not copy into this repo"
event_transport_contest,results and figures,absent,"prior path log lists CSV/JSON/PNG paths; current path check marks final figures/results missing","treat old results unavailable","regenerate from a rebuilt and audited event pipeline if needed"
results,results/realworld and results/ai_analysis,absent,"high_risk_path_check_20260602.csv marks both missing","not recovered","regenerate only from verified scripts; do not cite as current evidence"
schema_docs,rail cache schema Markdown,present after fix,"present-file integrity audit reports 0 text failures after fixing replacement-character corruption","fixed","keep modifications; include in recovery commit"
docs_recovery,recovery evidence artifacts,present untracked,"15 untracked docs/recovery artifacts counted","preserve","commit or archive recovery evidence before further reconstruction"
