gate_id,label,status,formal_target,review_packet,template_or_worksheet,blocker,action_type,requires_human_review,can_mark_complete,claim_boundary
pilot_region_accepted,Pilot Region Acceptance,blocked,data/manifests/pilot_acceptance.json,docs/review_packets/pilot_region_accepted.md,data/manifests/acceptance_templates/pilot_acceptance_template.json,create an explicit pilot acceptance record after privacy and case-scope review,create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
graph_scale_strategy,Graph-Scale Acceptance,blocked,data/manifests/graph_scale_acceptance.json,docs/review_packets/graph_scale_strategy.md,data/manifests/acceptance_templates/graph_scale_acceptance_template.json,create an explicit graph-scale acceptance record after source-vs-analysis graph review,create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
data_provenance,Source/License/Provenance Acceptance,blocked,data/manifests/provenance_acceptance.json,docs/review_packets/data_provenance.md,data/manifests/acceptance_templates/provenance_acceptance_template.json,"create an explicit provenance acceptance record after source, license, snapshot, privacy, and reproducibility review",create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
parameter_acceptance,Weak-Parameter Acceptance,blocked,data/parameters/parameter_acceptance.csv,docs/review_packets/parameter_evidence.md,data/parameters/parameter_acceptance_template.csv,create reviewed parameter acceptance records only for weak assumptions retained in final claims,create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
parameter_acceptance,Weak-Parameter Acceptance,blocked,data/parameters/parameter_acceptance.csv,docs/review_packets/parameter_evidence.md,data/parameters/parameter_acceptance_template.csv,parameter_acceptance.csv is missing,create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
road_class_overrides,Road-Class Override Acceptance,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,"replace the draft road-class override worksheet with a reviewed road_class_overrides.csv table containing source-backed speed, capacity, and base-disruption evidence",replace_weak_or_scaffold_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
road_class_overrides,Road-Class Override Acceptance,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,apply the reviewed overrides when adapting the pilot graph if final claims require calibrated road inputs,apply_reviewed_input_and_regenerate,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
road_class_overrides,Road-Class Override Acceptance,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,reviewed road-class override table is absent,create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
validation_package,Validation Acceptance,blocked,data/manifests/validation_acceptance.json,docs/review_packets/validation_package.md,data/manifests/acceptance_templates/validation_acceptance_template.json,create an explicit validation acceptance record after benchmark-strategy review,create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
sensitivity_analysis,Sensitivity Acceptance,blocked,data/manifests/sensitivity_acceptance.json,docs/review_packets/sensitivity_analysis.md,data/manifests/acceptance_templates/sensitivity_acceptance_template.json,create an explicit sensitivity acceptance record after SALib output and Sobol-decision review,create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
full_experiment_output,Experiment Acceptance,blocked,data/manifests/experiment_acceptance.json,docs/review_packets/full_experiment_output.md,data/manifests/acceptance_templates/experiment_acceptance_template.json,"create an explicit experiment acceptance record after input validation, graph-scope, and scenario-policy-seed review",create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
manuscript_report_alignment,Manuscript/Report Acceptance,blocked,data/manifests/manuscript_acceptance.json,docs/review_packets/manuscript_report_alignment.md,data/manifests/acceptance_templates/manuscript_acceptance_template.json,"create an explicit manuscript/report acceptance record after evidence gates, figures, paper, report, and claim boundaries are reviewed",create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
reproducibility,Reproducibility Acceptance,blocked,data/manifests/reproducibility_acceptance.json,docs/review_packets/reproducibility.md,data/manifests/acceptance_templates/reproducibility_acceptance_template.json,"create an explicit reproducibility acceptance record after clean-checkout validation, artifact regeneration, manifest review, and import-boundary checks",create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
final_audit_document,Final Study Audit Document,blocked,docs/final_study_audit.md,docs/review_packets/final_audit.md,docs/human_acceptance_runbook.md,create docs/final_study_audit.md after all other gates close,create_or_supply_formal_evidence,true,false,"Formal acceptance blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, calibrated validation, or operational routing permission."
