parameter,accepted,accepted_by,accepted_date,acceptance_scope,claim_boundary,sensitivity_reviewed,evidence_paths,notes
base_disruption_probability,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/scenarios/disruption_scenarios.csv; data/validation/accessibility_loss.csv,"Template row only. Recommended upgrade: Replace or accept disruption probabilities and degradation factors using public hazard/incident data, scenario literature, or reviewed sensitivity-bound assumptions."
blockage_rule,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/scenarios/disruption_scenarios.csv; data/validation/accessibility_loss.csv,"Template row only. Recommended upgrade: Replace or accept disruption probabilities and degradation factors using public hazard/incident data, scenario literature, or reviewed sensitivity-bound assumptions."
capacity_reduction_factor,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/scenarios/disruption_scenarios.csv; data/validation/accessibility_loss.csv,"Template row only. Recommended upgrade: Replace or accept disruption probabilities and degradation factors using public hazard/incident data, scenario literature, or reviewed sensitivity-bound assumptions."
disruption_probability,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/scenarios/disruption_scenarios.csv; data/validation/accessibility_loss.csv,"Template row only. Recommended upgrade: Replace or accept disruption probabilities and degradation factors using public hazard/incident data, scenario literature, or reviewed sensitivity-bound assumptions."
rail_capacity,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; docs/schemas/rail_gtfs_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_shortest_path_cache_schema.md; data/rail/metro9_capacity_source_extract.csv; data/rail/metro9_capacity_source_raw.html,"Template row only. Recommended upgrade: Derive or accept rail headway, travel time, and capacity using cached GTFS, public timetables, shortest-path records, operator sources, or explicit sensitivity-only treatment."
rail_headway,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; docs/schemas/rail_gtfs_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_shortest_path_cache_schema.md,"Template row only. Recommended upgrade: Derive or accept rail headway, travel time, and capacity using cached GTFS, public timetables, shortest-path records, operator sources, or explicit sensitivity-only treatment."
rail_travel_time,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/rail_service_evidence.csv; data/parameters/rail_station_bindings.csv; docs/schemas/rail_gtfs_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_shortest_path_cache_schema.md,"Template row only. Recommended upgrade: Derive or accept rail headway, travel time, and capacity using cached GTFS, public timetables, shortest-path records, operator sources, or explicit sensitivity-only treatment."
background_traffic_multiplier,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Template row only. Recommended upgrade: Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides."
road_capacity_proxy,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Template row only. Recommended upgrade: Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides."
road_free_flow_speed,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Template row only. Recommended upgrade: Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides."
traffic_volume_window,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_class_overrides_draft.csv; data/validation/external_route_benchmarks_osrm.csv,"Template row only. Recommended upgrade: Replace or accept road speed, capacity, background traffic, and BPR inputs using public speed limits, traffic counts, routing benchmarks, or reviewed road-class overrides."
censored_passenger_penalty,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Template row only. Recommended upgrade: Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds."
late_arrival_penalty,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Template row only. Recommended upgrade: Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds."
passenger_arrival_distribution,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Template row only. Recommended upgrade: Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds."
passenger_volume,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Template row only. Recommended upgrade: Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds."
simulation_time_horizon,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/parameter_sources.csv; data/scenarios/sensitivity_design.csv,"Template row only. Recommended upgrade: Replace or accept demand, arrival, horizon, and penalty settings using planning assumptions, scenario design, literature, and sensitivity bounds."
bus_capacity,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/fleet_assumptions.csv,"Template row only. Recommended upgrade: Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions."
direct_bus_fleet_size,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/fleet_assumptions.csv,"Template row only. Recommended upgrade: Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions."
dispatch_interval,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/fleet_assumptions.csv,"Template row only. Recommended upgrade: Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions."
feeder_fleet_size,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/fleet_assumptions.csv,"Template row only. Recommended upgrade: Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions."
last_mile_fleet_size,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/fleet_assumptions.csv,"Template row only. Recommended upgrade: Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions."
last_mile_vehicle_capacity,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/fleet_assumptions.csv,"Template row only. Recommended upgrade: Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions."
turnaround_time,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/fleet_assumptions.csv,"Template row only. Recommended upgrade: Replace or accept vehicle capacity, fleet size, dispatch, and turnaround assumptions using agency planning values, literature, or reviewed scenario assumptions."
transfer_fixed_delay,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/parameter_sources.csv,"Template row only. Recommended upgrade: Replace or accept transfer delays using station-layout evidence, observed ranges, pedestrian-flow literature, or reviewed scenario assumptions."
transfer_per_passenger_delay,false,REVIEW_REQUIRED,REVIEW_REQUIRED,REVIEW_REQUIRED,"TEMPLATE ONLY: this is not approval, not calibrated real-world validation, and not operational routing. Keep accepted false until a reviewer replaces all placeholders and records a source-backed decision.",false,data/parameters/parameter_sources.csv,"Template row only. Recommended upgrade: Replace or accept transfer delays using station-layout evidence, observed ranges, pedestrian-flow literature, or reviewed scenario assumptions."
