parameter,value,unit,source_class,source_name,source_url_or_citation,applies_to,uncertainty_range,notes
rail_access_point,S,node,public-data-derived,Pilot region station point with Seoul station datasets,data/regions/pilot_region.yaml; data/rail/pilot_station_binding_cache.csv; data/parameters/rail_station_bindings.csv; https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,Olympic Park Station public access point,official line-specific station identifiers cached,Public station-area point from the pilot spec. The cached Seoul Open Data Plaza station-name search extract binds S to Olympic Park Station official line-specific identifiers P550/2556 and 936/4136. This is station binding only and not operational rail service evidence.
rail_egress_point,R,node,public-data-derived,Pilot region station point with Seoul station datasets,data/regions/pilot_region.yaml; data/rail/pilot_station_binding_cache.csv; data/parameters/rail_station_bindings.csv; https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,Jamsil Station public egress point,official line-specific station identifiers cached,Public station-area point from the pilot spec. The cached Seoul Open Data Plaza station-name search extract binds R to Jamsil Station official line-specific identifiers 216/0216 and 814/2815. This is station binding only and not operational rail service evidence.
rail_gtfs_status,no_committed_static_gtfs_feed,text,expert assumption,Repository review with Seoul public-data source scan,docs/rail_evidence.md; docs/schemas/rail_gtfs_cache_schema.md; https://data.seoul.go.kr/dataList/32/literacyView.do,pilot rail evidence,static GTFS availability must be rechecked before publication,No GTFS feed is committed in this repository. A cached static-GTFS derivation path exists for a reviewed zip or directory and can derive headway plus access-to-egress travel time; the current shipped rail row is not GTFS-derived.
rail_timetable_status,official_api_available_not_parsed,text,public-data-derived,Seoul Data Hub subway timetable APIs,https://data.seoul.go.kr/bsp/wgs/dataView/data300View/527.do; https://data.seoul.go.kr/bsp/wgs/dataView/data300View/100204.do,pilot rail evidence,API extraction pending,Seoul public APIs expose station train timetable records. Default tests and pilot runs do not call those live APIs and no timetable parser is committed.
rail_shortest_path_status,official_api_available_not_parsed,text,public-data-derived,Seoul Open Data Plaza subway shortest-path API,https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do,pilot rail evidence,API extraction pending,The public shortest-path API page describes minimum-time shortest-distance and minimum-transfer subway paths with section-level travel-time distance and transfer context. This repository has not queried or cached station-to-station results.
rail_station_binding_status,official_station_identifiers_cached,text,public-data-derived,Rail station binding cache,data/rail/pilot_station_binding_cache.csv; data/parameters/rail_station_bindings.csv; https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,pilot rail evidence,station binding only not rail service evidence,The current S and R rows are official line-specific station-code bindings from a cached Seoul Open Data Plaza station-name search extract. This closes the station binding gate but does not derive headway travel time capacity or route availability.
rail_headway,10,min,expert assumption,Timetable-informed fixed-headway pilot proxy,data/regions/pilot_region.yaml; https://data.seoul.go.kr/bsp/wgs/dataView/data300View/527.do; https://data.seoul.go.kr/bsp/wgs/dataView/data300View/100204.do,multimodal rail,5-20,Fixed headway is retained as a scenario proxy. Official timetable APIs and cached GTFS derivation code exist but no reviewed timetable or GTFS extract is committed. This is not an emergency-service guarantee.
rail_travel_time,20,min,expert assumption,Timetable and shortest-path informed pilot proxy,data/regions/pilot_region.yaml; https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do; https://www.metro9.co.kr/prog/subwayTm/eng/sub01_02/list.do,multimodal rail,10-40,Travel time represents the abstract Olympic Park Station area to Jamsil Station area rail leg including transfer and wait allowance. It is not a validated passenger itinerary.
rail_capacity,500,pax/train,sensitivity-only,Line 9 rolling-stock capacity context with de-rated model capacity,https://www.metro9.co.kr/eng/sub03_02_01.do,multimodal rail,300-922,Line 9 operator material lists 922 passengers for a six-car train. The model uses a deliberately de-rated 500 passenger capacity and should test this as an uncertainty axis.
rail_service_window,scheduled_public_service_only,text,expert assumption,Public timetable context and pilot service rule,docs/rail_evidence.md; https://data.seoul.go.kr/bsp/wgs/dataView/data300View/527.do,multimodal rail,scheduled service versus delayed unavailable or out of window,The simulator treats rail as a scheduled-service proxy. It does not assert special emergency trains or guaranteed public-service availability.
rail_availability_rule,scheduled_service_proxy_not_emergency_availability,rule,expert assumption,Pilot region rail metadata and public timetable context,data/regions/pilot_region.yaml; docs/rail_evidence.md,multimodal rail,available versus delayed unavailable or capacity constrained,No rail disruption or failure model is calibrated. Future scenarios should include rail delay unavailability station access degradation and last-mile bottlenecks.
