gate_id,label,status,formal_target,review_packet,template_or_worksheet,blocker,action_type,requires_human_review,can_mark_complete,claim_boundary
pilot_region_accepted,Pilot Region Decision,blocked,data/manifests/pilot_acceptance.json,docs/review_packets/pilot_region_accepted.md,data/manifests/acceptance_templates/pilot_acceptance_template.json,create an explicit pilot decision record after privacy and case-scope review,create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
graph_scale_strategy,Graph-Scale Decision,blocked,data/manifests/graph_scale_acceptance.json,docs/review_packets/graph_scale_strategy.md,data/manifests/acceptance_templates/graph_scale_acceptance_template.json,create an explicit graph-scale decision record after source-vs-analysis graph review,create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
data_provenance,Source/License/Provenance Decision,blocked,data/manifests/provenance_acceptance.json,docs/review_packets/data_provenance.md,data/manifests/acceptance_templates/provenance_acceptance_template.json,"create an explicit provenance decision record after source, license, snapshot, privacy, and reproducibility review",create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
parameter_acceptance,Weak-Parameter Decision,blocked,data/parameters/parameter_acceptance.csv,docs/review_packets/parameter_evidence.md,data/parameters/parameter_acceptance_template.csv,create reviewed parameter decision rows only for weak assumptions retained in release-scope claims,create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
parameter_acceptance,Weak-Parameter Decision,blocked,data/parameters/parameter_acceptance.csv,docs/review_packets/parameter_evidence.md,data/parameters/parameter_acceptance_template.csv,parameter_acceptance.csv is missing,create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
road_class_overrides,Road-Class Override Decision,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,"replace weak field-level road override sources before treating speed, capacity, or base-disruption values as source-backed",replace_weak_or_scaffold_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
road_class_overrides,Road-Class Override Decision,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,verify graph-adapter runs apply the reviewed override table before using road-calibration claims,apply_reviewed_input_and_regenerate,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
road_class_overrides,Road-Class Override Decision,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,accepted pilot manifest does not record road_class_overrides_applied: true,resolve_blocker,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
road_class_overrides,Road-Class Override Decision,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,accepted pilot manifest does not record road_class_overrides_path,resolve_blocker,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
road_class_overrides,Road-Class Override Decision,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,accepted pilot manifest does not record road_class_overrides_sha256,resolve_blocker,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
road_class_overrides,Road-Class Override Decision,blocked,data/parameters/road_class_overrides.csv,docs/review_packets/cached_osm_input.md,data/parameters/road_class_overrides_draft.csv,accepted pilot manifest graph_source does not record road_class_overrides,resolve_blocker,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
validation_package,Benchmark Decision,blocked,data/manifests/validation_acceptance.json,docs/review_packets/validation_package.md,data/manifests/acceptance_templates/validation_acceptance_template.json,create an explicit benchmark decision record after benchmark-strategy review,create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
sensitivity_analysis,Sensitivity Analysis Decision,blocked,data/manifests/sensitivity_acceptance.json,docs/review_packets/sensitivity_analysis.md,data/manifests/acceptance_templates/sensitivity_acceptance_template.json,create an explicit sensitivity decision record after SALib output and Sobol-decision review,create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
full_experiment_output,Experiment Output Decision,blocked,data/manifests/experiment_acceptance.json,docs/review_packets/full_experiment_output.md,data/manifests/acceptance_templates/experiment_acceptance_template.json,"create an explicit experiment decision record after input-evidence review, graph-scope, and scenario-policy-seed review",create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
manuscript_report_alignment,Manuscript/Report Alignment Decision,blocked,data/manifests/manuscript_acceptance.json,docs/review_packets/manuscript_report_alignment.md,data/manifests/acceptance_templates/manuscript_acceptance_template.json,"create an explicit manuscript/report decision record after evidence gates, figures, paper, report, and claim boundaries are reviewed",create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
reproducibility,Reproducibility Decision,blocked,data/manifests/reproducibility_acceptance.json,docs/review_packets/reproducibility.md,data/manifests/acceptance_templates/reproducibility_acceptance_template.json,"create an explicit reproducibility decision record after clean-checkout reproduction review, artifact regeneration, manifest review, and import-boundary checks",create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
final_audit_document,Study-Closeout Audit Document,blocked,docs/final_study_audit.md,docs/review_packets/final_audit.md,docs/human_acceptance_runbook.md,create docs/final_study_audit.md after all other gates close,create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
final_audit,Closeout Audit Decision,blocked,data/manifests/final_audit_acceptance.json,docs/review_packets/final_audit.md,data/manifests/acceptance_templates/final_audit_acceptance_template.json,create an explicit closeout audit decision record only after prompt-to-artifact review confirms every prerequisite gate is closed,create_or_supply_formal_evidence,true,false,"Formal decision blocker queue only. Rows are work items for reviewers; they do not create approvals, source evidence, field-fit benchmark evidence, or deployment routing permission."
