review_item_id,region_id,evidence_group,rail_component,current_value,unit,evidence_status,source_status,source_artifact_status,station_binding_ready,service_publication_ready,weak_for_final_claim,review_priority,current_source,candidate_artifacts,recommended_upgrade,publication_use_status,claim_boundary,notes
rail_station_binding_S,songpa_public_demo,station_binding,S_station_binding,올림픽공원(P550); 올림픽공원(936),station,official_station_code_bound,official_station_code_bound,station_binding_cache_committed,true,false,false,low,Seoul Open Data Plaza SearchInfoBySubwayNameService cached extract,data/rail/pilot_station_binding_cache.csv; data/parameters/rail_station_bindings.csv,Keep station binding reproducible and separate from rail-service timing evidence.,station_binding_ready_not_service_timing,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.","Station binding does not certify headway, travel time, capacity, or availability."
rail_station_binding_R,songpa_public_demo,station_binding,R_station_binding,잠실(216); 잠실(814),station,official_station_code_bound,official_station_code_bound,station_binding_cache_committed,true,false,false,low,Seoul Open Data Plaza SearchInfoBySubwayNameService cached extract,data/rail/pilot_station_binding_cache.csv; data/parameters/rail_station_bindings.csv,Keep station binding reproducible and separate from rail-service timing evidence.,station_binding_ready_not_service_timing,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.","Station binding does not certify headway, travel time, capacity, or availability."
rail_headway,songpa_public_demo,service_timing,headway,10,min,cached_timing_derived,documented_assumption_proxy,cached_source_artifact_verified,true,false,false,high,data/regions/pilot_region.yaml; https://data.seoul.go.kr/bsp/wgs/dataView/data300View/527.do; https://data.seoul.go.kr/bsp/wgs/dataView/data300View/100204.do,data/parameters/rail_service_evidence.csv; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_gtfs_cache_schema.md,Derive headway from a reviewed timetable or static GTFS cache and record artifact SHA256.,blocked_until_cached_timing_derivation,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",Current fixed headway is a scenario proxy.
rail_travel_time,songpa_public_demo,service_timing,travel_time,20,min,missing_cached_timing_evidence,documented_assumption_proxy,cached_source_artifact_verified,true,false,true,high,data/regions/pilot_region.yaml; https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do; https://www.metro9.co.kr/prog/subwayTm/eng/sub01_02/list.do,data/parameters/rail_service_evidence.csv; docs/schemas/rail_shortest_path_cache_schema.md; docs/schemas/rail_timetable_cache_schema.md; docs/schemas/rail_gtfs_cache_schema.md,"Derive travel time from reviewed shortest-path, timetable, or GTFS cache and record artifact SHA256.",blocked_until_cached_timing_derivation,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",Current travel time is an abstract station-area service-leg proxy.
rail_capacity,songpa_public_demo,capacity,capacity,500,pax/train,source_backed_or_sensitivity_acknowledged,documented_assumption_proxy; sensitivity-only,capacity_retained_as_sensitivity_axis,true,false,false,medium,https://www.metro9.co.kr/eng/sub03_02_01.do,data/parameters/rail_assumptions.csv; data/rail/metro9_capacity_source_extract.csv; data/rail/metro9_capacity_source_raw.html; data/parameters/parameter_sources.csv,"Review the cached Metro9 capacity context, keep capacity explicitly sensitivity-only, or replace it with source-backed route-leg capacity evidence.",usable_as_sensitivity_only_not_point_calibration,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",Cached Metro9 capacity context is review input only; capacity treatment does not solve missing rail timing evidence.
rail_service_window,songpa_public_demo,availability,service_window,scheduled_public_service_only,rule,scheduled_public_service_proxy,expert assumption,no_emergency_service_artifact,true,false,true,high,docs/rail_evidence.md; https://data.seoul.go.kr/bsp/wgs/dataView/data300View/527.do,data/parameters/rail_assumptions.csv; data/scenarios/policy_alternatives.csv,Document the selected public-service window and add rail delay or unavailability scenarios.,scenario_assumption_only,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",Scheduled service context is not emergency rail availability.
rail_availability_rule,songpa_public_demo,availability,availability_rule,scheduled_service_proxy_not_emergency_availability,rule,uncalibrated_availability_rule,expert assumption,no_disruption_or_availability_artifact,true,false,true,high,data/regions/pilot_region.yaml; docs/rail_evidence.md,data/scenarios/disruption_scenarios.csv; docs/rail_evidence.md,"Add rail delay, partial unavailability, station access closure, and service-window scenarios.",scenario_assumption_only,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",Current default rail path remains scheduled-service proxy.
rail_timetable_derivation_path,songpa_public_demo,derivation_path,timetable_cache,available,code_path,derivation_path_available_no_default_cache,repository_derivation_code,no_reviewed_default_source_cache,true,false,true,high,scripts\derive_rail_service_evidence.py; docs\schemas\rail_timetable_cache_schema.md,scripts\derive_rail_service_evidence.py; docs\schemas\rail_timetable_cache_schema.md,Cache a reviewed station-event timetable extract and derive headway plus matched travel time.,derivation_path_only_not_evidence,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",A parser or derivation script does not create evidence until a reviewed source cache is committed.
rail_gtfs_derivation_path,songpa_public_demo,derivation_path,gtfs_cache,available,code_path,derivation_path_available_no_default_cache,repository_derivation_code,no_reviewed_default_source_cache,true,false,true,medium,scripts\derive_rail_gtfs_evidence.py; docs\schemas\rail_gtfs_cache_schema.md,scripts\derive_rail_gtfs_evidence.py; docs\schemas\rail_gtfs_cache_schema.md,Commit or reference a reviewed static GTFS feed and derive headway plus stop-to-stop travel time.,derivation_path_only_not_evidence,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",A parser or derivation script does not create evidence until a reviewed source cache is committed.
rail_shortest_path_derivation_path,songpa_public_demo,derivation_path,shortest_path_cache,available,code_path,derivation_path_available_no_default_cache,repository_derivation_code,no_reviewed_default_source_cache,true,false,true,high,scripts\derive_rail_shortest_path_evidence.py; docs\schemas\rail_shortest_path_cache_schema.md,scripts\derive_rail_shortest_path_evidence.py; docs\schemas\rail_shortest_path_cache_schema.md,"Cache a reviewed station-to-station shortest-path extract for travel time, then pair it with headway evidence.",derivation_path_only_not_evidence,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",A parser or derivation script does not create evidence until a reviewed source cache is committed.
rail_static_timetable_cache_review,songpa_public_demo,source_cache_review,static_timetable_cache,present; normalized_event_count=241; access_event_count=241; egress_event_count=0,cache,static_timetable_cache_retained_not_evidence,reviewed_static_source_candidate_not_accepted_evidence,static_cache_manifest_retained_non_evidence,true,false,true,medium,data\rail\pilot_rail_timetable_static_source.csv; input_sha256=46b6d9e2c2e1e23632fa72208a3ca5dc6aeba9013c403ee6f52747fec2b9a9e2; review_status=not_recorded_by_normalizer,data\rail\pilot_rail_static_timetable_cache.csv; data\rail\pilot_rail_static_timetable_cache_manifest.json,"Review the static cache source, column mapping, and station identifier namespace before deriving rail evidence.",static_cache_review_only_not_evidence,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.",Static cache rows are retained for review only. They do not derive rail_service_evidence.csv or close rail evidence gates.
rail_static_timetable_segment_pair_diagnostic,songpa_public_demo,diagnostic_artifact,static_segment_pair_diagnostic,present; feasible_connection_count=240; median_total_min=16.25; p90_total_min=21.333,diagnostic,static_segment_pair_diagnostic_retained_not_evidence,static_timetable_diagnostic_not_transfer_calibration,diagnostic_manifest_retained_non_evidence,true,false,true,medium,data/rail/pilot_rail_timetable_static_source.csv; source_sha256=46b6d9e2c2e1e23632fa72208a3ca5dc6aeba9013c403ee6f52747fec2b9a9e2; diagnostic_only=true,data\rail\pilot_rail_static_timetable_segment_pair_diagnostic.csv; data\rail\pilot_rail_static_timetable_segment_pair_diagnostic_manifest.json; docs\rail_static_timetable_segment_pair_diagnostic.md,"Use the diagnostic only to target reviewer questions; collect source-backed transfer, shortest-path, GTFS, or timetable evidence before any release-scope rail timing claim.",diagnostic_review_only_not_evidence,"Rail evidence review packet; review support only, not rail-service calibration, GTFS validation, emergency rail availability evidence, or route-use evidence.","Segment-pair diagnostic uses an explicit transfer buffer and does not validate observed transfer walking, crowding, or route-use rail movement."
