check_id,status,observed,expected,review_action,evidence_paths,claim_boundary
statistics_manifest_present,pass,results/realworld_pilot/tables/pilot_full_statistics_manifest.json,pilot statistics manifest exists,Regenerate pilot statistics before experiment review.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
metric_ci_table_present,pass,results/realworld_pilot/tables/pilot_full_metric_ci.csv,metric confidence-interval CSV exists,Regenerate metric CI table before experiment review.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
paired_delta_table_present,pass,results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv,paired-delta confidence-interval CSV exists,Regenerate paired-delta table before paired policy claims.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
metric_ci_row_count_matches_manifest,pass,819,819,Resolve metric CI row-count mismatch.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
paired_delta_row_count_matches_manifest,pass,702,702,Resolve paired-delta row-count mismatch.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
paired_counts_match_seed_count,needs_human_review,min=0; max=30; rows=702,paired_count values should not exceed seed_count 30; lower finite counts need review,Review zero or partial finite paired counts before interpreting affected metrics.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
metric_counts_match_seed_count,needs_human_review,min=0; max=30; rows=819,sample_count values should not exceed seed_count 30; lower finite counts need review,Review zero or partial finite metric counts before interpreting affected metrics.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
baseline_policy_declared,pass,bus_only,bus_only,Confirm the formal experiment review record names the baseline policy.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
replication_count_human_review,needs_human_review,30,minimum structural seed count 30; adequacy still reviewer-decided,"Decide whether this replication count is sufficient for each primary metric, especially tail-risk metrics.",results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
ci_method_human_review,needs_human_review,normal_approximation_mean_plus_minus_1_96_standard_errors,CI method declared and reviewed for sample size and metric distribution,Review whether normal-approximation CIs are acceptable or replace with a selected method.,results/realworld_pilot/tables/pilot_full_statistics_manifest.json; results/realworld_pilot/tables/pilot_full_metric_ci.csv; results/realworld_pilot/tables/pilot_full_paired_delta_ci.csv; results/realworld_pilot/pilot_full_manifest.json,"This audit checks internal consistency of seed-replication and paired-delta statistics. It does not prove that the replication count is sufficient for release-scope claims, approve a multiple-comparison procedure, validate stochastic assumptions, or close experiment acceptance."
