source_id,source_name,source_type,review_status,priority_status,review_priority,snapshot_status,local_artifact_count,url_row_count,reachable_url_count,url_remediation_status_counts,license_review_required,attribution_review_required,snapshot_review_required,privacy_review_required,reproducibility_review_required,required_reviewer_decision,url_required_reviewer_actions,alternate_url_candidates,source_url_or_citation,target_acceptance_artifact,publication_use_status,can_support_final_provenance_gate,claim_boundary,notes
seoul_shortest_path_api_context,Seoul Open Data Plaza Seoul Metro shortest-path API,public_api,context_only_not_cached,blocked_context_only_source_not_cached,high,context_only_not_cached,3,2,1,alternate_reachable_url_needs_review=1; reachable_needs_license_review=1,true,true,true,false,true,"provide a reviewed target payload with terms/attribution review, retain this context-source row as sensitivity/context-only, or exclude it from final-study claims","verify source identity, terms, attribution, and retained-snapshot policy before provenance decision record; verify whether the reachable URL and retained local artifacts are sufficient, then replace or remove the failed alternate citation before provenance decision record",https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do,https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do; https://www.data.go.kr/en/data/15143842/openapi.do,data/manifests/provenance_acceptance.json,"context only; cannot support final claims until cached, retained as sensitivity/context-only, or excluded",false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.","Derivation and optional key-required fetch code exist, but data/rail/pilot_rail_shortest_path_cache.csv is intentionally absent until reviewed extraction and raw-response retention."
seoul_timetable_api_context,Seoul subway timetable and train schedule public API context,public_api,context_only_not_cached,blocked_context_only_source_not_cached,high,context_only_not_cached,4,2,2,reachable_needs_license_review=2,true,true,true,false,true,"provide a reviewed target payload with terms/attribution review, retain this context-source row as sensitivity/context-only, or exclude it from final-study claims","verify source identity, terms, attribution, and retained-snapshot policy before provenance decision record",,https://data.seoul.go.kr/dataList/32/literacyView.do; https://www.data.go.kr/en/data/15143847/openapi.do,data/manifests/provenance_acceptance.json,"context only; cannot support final claims until cached, retained as sensitivity/context-only, or excluded",false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.","Derivation, headway-only derivation, and optional key-required fetch code exist, but data/rail/pilot_rail_timetable_cache.csv is intentionally absent until reviewed extraction and raw-response retention."
metro9_capacity_context,Seoul Metro Line 9 rolling stock context,operator_page,cached_snapshot_pending_review,needs_human_review_cached_snapshot_source,high,local_artifacts_present,4,1,1,reachable_needs_license_review=1,true,true,true,false,true,"review source terms, attribution, snapshot date, and retained local artifacts","verify source identity, terms, attribution, and retained-snapshot policy before provenance decision record",,https://www.metro9.co.kr/eng/sub03_02_01.do,data/manifests/provenance_acceptance.json,"cached source pending license, attribution, and snapshot review",false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.","The cached extract records the operator page's 6-car configuration and total capacity field, but it does not change the current de-rated 500 passenger train-capacity proxy or create rail/provenance acceptance."
seoul_station_binding_cache,Seoul Open Data Plaza station-name search extract,public_api,cached_snapshot_pending_review,needs_human_review_cached_snapshot_source,high,local_artifacts_present,2,1,1,reachable_needs_license_review=1,true,true,true,false,true,"review source terms, attribution, snapshot date, and retained local artifacts","verify source identity, terms, attribution, and retained-snapshot policy before provenance decision record",,https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,data/manifests/provenance_acceptance.json,"cached source pending license, attribution, and snapshot review",false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.","Station binding audit reports binding_ready true, while rail-service evidence remains blocked."
ktdb_public_transport_gtfs_context,KTDB public transport GTFS dataset candidate,public_data,cached_snapshot_pending_review,needs_human_review_cached_snapshot_source,high,local_artifacts_present,11,2,2,reachable_needs_license_review=2,true,true,true,false,true,"review source terms, attribution, snapshot date, and retained local artifacts","verify source identity, terms, attribution, and retained-snapshot policy before provenance decision record",,https://www.ktdb.go.kr/www/selectBbsNttView.do?bbsNo=2&key=45&nttNo=3785; https://www.ktdb.go.kr/www/selectPbldataChargerWebList.do?key=12&searchClStepCode=106,data/manifests/provenance_acceptance.json,"cached source pending license, attribution, and snapshot review",false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.","The cached KTDB metadata extract records the public-transport GTFS listing and a 2025-11-28 notice for 2024-03 baseline GTFS information, but the repository still requires reviewed GTFS acquisition, cache retention, SHA256 recording, stop/route/service-window review, and derivation before rail evidence can improve."
osm_overpass_road_snapshot,OpenStreetMap road graph via Overpass,public_map,cached_snapshot_pending_review,needs_human_review_cached_snapshot_source,high,local_artifacts_present,6,2,2,reachable_needs_license_review=2,true,true,true,false,true,"review source terms, attribution, snapshot date, and retained local artifacts","verify source identity, terms, attribution, and retained-snapshot policy before provenance decision record",,https://www.openstreetmap.org/copyright; https://overpass-api.de/,data/manifests/provenance_acceptance.json,"cached source pending license, attribution, and snapshot review",false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.",Cache manifest records raw source graph size and bus-practical adapted graph counts are recorded in pilot result manifests.
osrm_public_route_benchmark,OSRM public demo route benchmark snapshot,public_router,cached_snapshot_pending_review,needs_human_review_cached_snapshot_source,high,local_artifacts_present,6,3,3,reachable_needs_license_review=3,true,true,true,false,true,"review source terms, attribution, snapshot date, and retained local artifacts","verify source identity, terms, attribution, and retained-snapshot policy before provenance decision record",,"https://router.project-osrm.org/route/v1/driving/127.1002000,37.5133000;127.1025000,37.5180000?overview=false&alternatives=false&steps=false; https://router.project-osrm.org/route/v1/driving/127.1210000,37.5202000;127.1025000,37.5180000?overview=false&alternatives=false&steps=false; https://router.project-osrm.org/route/v1/driving/127.1210000,37.5202000;127.1302000,37.5166000?overview=false&alternatives=false&steps=false",data/manifests/provenance_acceptance.json,"cached source pending license, attribution, and snapshot review",false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.","Default validation keeps deterministic offline fallback separate from this optional live-router snapshot. The validation review packet summarizes fallback, OSRM, internal plausibility, accessibility, and benchmark-strategy blockers without accepting the validation gate."
parameter_source_tables,Repository parameter evidence tables,repository_input,repository_input_pending_review,needs_human_review_repository_input_source,medium,local_artifacts_present,12,1,0,local_citation_needs_review=1,false,false,true,false,true,"review project-owned assumptions, privacy abstraction, and claim boundary",confirm the local citation is sufficient for project-owned input and privacy scope,,data/parameters/parameter_sources.csv; data/parameters/fleet_assumptions.csv; data/parameters/rail_assumptions.csv; data/parameters/parameter_evidence_review_packet.csv; data/parameters/parameter_evidence_source_request_packet.csv; data/road/road_evidence_source_request_packet.csv,data/manifests/provenance_acceptance.json,repository input pending human/source-scope review,false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.",Parameter evidence audit currently reports 25 weak core parameters; the review packet plus parameter and road evidence source-request packets prioritize replacements or explicit acceptance without closing final-study gates.
pilot_region_spec,Repository pilot region specification,repository_input,repository_input_pending_review,needs_human_review_repository_input_source,medium,local_artifacts_present,2,1,0,local_citation_needs_review=1,false,false,true,true,true,"review project-owned assumptions, privacy abstraction, and claim boundary",confirm the local citation is sufficient for project-owned input and privacy scope,,data/regions/pilot_region.yaml; docs/pilot_region_data_card.md,data/manifests/provenance_acceptance.json,repository input pending human/source-scope review,false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.",Destination point is synthetic by design and requires privacy review before final claims.
reproducibility_package,Repository reproducibility package,repository_input,repository_input_pending_review,needs_human_review_repository_input_source,medium,local_artifacts_present,6,1,0,local_citation_needs_review=1,false,false,true,false,true,"review project-owned assumptions, privacy abstraction, and claim boundary",confirm the local citation is sufficient for project-owned input and privacy scope,,docs/reproducibility_package.md; data/manifests/reproducibility_manifest.json,data/manifests/provenance_acceptance.json,repository input pending human/source-scope review,false,"Source provenance priority packet only; not source acceptance, not license certification, not calibrated real-world validation, not provenance gate closure, and not operational routing approval.","The reproducibility review packet records scaffold scope, Git worktree state, untracked artifact risk, runtime import boundary, and clean-checkout execution scope without accepting the gate. The reproducibility acceptance record is intentionally absent until final review."
