parameter_id,salib_name,target,value_type,unit,baseline,low,high,applies_to,scenario_filter,source_parameter,source_class,notes
passenger_volume,passenger_volume,personnel.total,int,pax,24,16,32,all,all,passenger_volume,sensitivity-only,Fixture-scale demand for fast pilot screening rather than the full calibrated demand case.
passenger_arrival_variability,passenger_arrival_variability,params.sigma,float,lognormal sigma,0.25,0.15,0.50,all,all,passenger_arrival_distribution,sensitivity-only,Arrival-tail uncertainty for the fixed-seed pilot scaffold screening run.
direct_bus_fleet_size,direct_bus_fleet_size,bus.fleet_size,int,vehicles,3,1,5,bus_only,all,direct_bus_fleet_size,sensitivity-only,Direct-road vehicle availability varied only for bus-only policy rows.
feeder_fleet_size,feeder_fleet_size,multimodal.shuttle_fleet_size,int,vehicles,3,1,5,multimodal,all,feeder_fleet_size,sensitivity-only,Feeder shuttle availability from assembly zone to rail access.
last_mile_fleet_size,last_mile_fleet_size,multimodal.lastmile_fleet_size,int,vehicles,2,1,4,multimodal,all,last_mile_fleet_size,sensitivity-only,Last-mile vehicle availability after rail egress.
dispatch_interval,dispatch_interval,dispatch interval fields,float,min,5,2.5,10,all,all,dispatch_interval,sensitivity-only,Shared dispatch spacing for direct bus feeder shuttle and scheduled last-mile releases.
road_background_traffic_multiplier,road_background_traffic_multiplier,traffic.background_volume multiplier,float,multiplier,1.0,0.8,2.0,all,all,background_traffic_multiplier,sensitivity-only,Multiplier on pilot scaffold background road volume used by BPR travel time.
capacity_reduction_factor,capacity_reduction_factor,failure.capacity_reduction_factor,float,factor,0.50,0.25,0.75,all,capacity_reduction,capacity_reduction_factor,sensitivity-only,Capacity-retention factor for selected degraded road edges.
rail_headway,rail_headway,network.rail_link[0][3],float,min,10,5,20,multimodal,all,rail_headway,sensitivity-only,Fixed rail headway assumption for multimodal screening rows.
rail_capacity,rail_capacity,network.rail_link[0][4],int,pax/train,16,8,32,multimodal,all,rail_capacity,sensitivity-only,Fixture-scaled train capacity so small offline samples can expose rail bottlenecks.
transfer_fixed_delay,transfer_fixed_delay,multimodal.transfer_time_min,float,min,3,0,10,multimodal,all,transfer_fixed_delay,sensitivity-only,Fixed station transfer delay between feeder and rail service.
transfer_per_passenger_delay,transfer_per_passenger_delay,multimodal.transfer_per_passenger_min,float,min/pax,0.02,0,0.10,multimodal,all,transfer_per_passenger_delay,sensitivity-only,Crowding-style transfer delay applied per passenger in a station batch.
turnaround_time,turnaround_time,vehicle turnaround fields,float,min,8,4,20,all,all,turnaround_time,sensitivity-only,Vehicle turnaround proxy applied to direct bus feeder shuttle and last-mile fleets.
last_mile_access_disruption_probability,last_mile_access_disruption_probability,selected last-mile road-edge p_fail,float,probability,1.0,0.0,1.0,multimodal,last_mile,disruption_probability,sensitivity-only,Probability assigned to selected last-mile disruption edges with the high value matching the deterministic pilot scaffold case.
