source_id,source_name,source_type,url,alternate_url_candidates,url_status,http_status,local_artifact_count,local_artifact_paths,remediation_status,priority,evidence_gap,required_reviewer_action,target_acceptance_artifact,source_review_packet,can_support_final_provenance_gate,claim_boundary,notes
osm_overpass_road_snapshot,OpenStreetMap road graph via Overpass,public_map,https://www.openstreetmap.org/copyright,,reachable,200,6,data/cache/pilot_region_road.graphml; data/cache/pilot_region_road_manifest.json; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_capacity_evidence_manifest.json; data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_speed_evidence_manifest.json,reachable_needs_license_review,medium,"connectivity is observed but official source identity, license, attribution, and snapshot suitability are unreviewed","verify source identity, terms, attribution, and retained-snapshot policy before acceptance",data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",reachable_needs_license_review: HEAD request completed
osm_overpass_road_snapshot,OpenStreetMap road graph via Overpass,public_map,https://overpass-api.de/,,reachable,200,6,data/cache/pilot_region_road.graphml; data/cache/pilot_region_road_manifest.json; data/parameters/road_capacity_evidence_candidates.csv; data/parameters/road_capacity_evidence_manifest.json; data/parameters/road_speed_evidence_candidates.csv; data/parameters/road_speed_evidence_manifest.json,reachable_needs_license_review,medium,"connectivity is observed but official source identity, license, attribution, and snapshot suitability are unreviewed","verify source identity, terms, attribution, and retained-snapshot policy before acceptance",data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",reachable_needs_license_review: HEAD request completed
pilot_region_spec,Repository pilot region specification,repository_input,,,no_url_detected,,2,data/regions/pilot_region.yaml; docs/pilot_region_data_card.md,local_citation_needs_review,medium,project-owned local citation has no public HTTP URL,confirm the local citation is sufficient for project-owned input and privacy scope,data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",local_citation_needs_review: source_url_or_citation does not contain an HTTP(S) URL
parameter_source_tables,Repository parameter evidence tables,repository_input,,,no_url_detected,,12,data/parameters/parameter_sources.csv; data/parameters/fleet_assumptions.csv; data/parameters/rail_assumptions.csv; data/parameters/road_class_overrides_draft.csv; data/parameters/parameter_evidence_review_packet.csv; data/parameters/parameter_evidence_review_manifest.json; data/parameters/parameter_evidence_source_request_packet.csv; data/parameters/parameter_evidence_source_request_manifest.json; docs/parameter_evidence_source_request_packet.md; data/road/road_evidence_source_request_packet.csv; data/road/road_evidence_source_request_manifest.json; docs/road_evidence_source_request_packet.md,local_citation_needs_review,medium,project-owned local citation has no public HTTP URL,confirm the local citation is sufficient for project-owned input and privacy scope,data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",local_citation_needs_review: source_url_or_citation does not contain an HTTP(S) URL
seoul_station_binding_cache,Seoul Open Data Plaza station-name search extract,public_api,https://data.seoul.go.kr/dataList/OA-121/S/1/datasetView.do,,reachable,200,2,data/rail/pilot_station_binding_cache.csv; data/parameters/rail_station_bindings.csv,reachable_needs_license_review,medium,"connectivity is observed but official source identity, license, attribution, and snapshot suitability are unreviewed","verify source identity, terms, attribution, and retained-snapshot policy before acceptance",data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",reachable_needs_license_review: GET fallback completed after HEAD returned HTTP 404: 404
seoul_shortest_path_api_context,Seoul Open Data Plaza Seoul Metro shortest-path API,public_api,https://data.seoul.go.kr/dataList/OA-22724/A/1/datasetView.do,,reachable,200,3,data/parameters/rail_evidence_sources.csv; docs/rail_shortest_path_cache_schema.md; scripts/fetch_rail_shortest_path_cache.py,reachable_needs_license_review,medium,"connectivity is observed but official source identity, license, attribution, and snapshot suitability are unreviewed","verify source identity, terms, attribution, and retained-snapshot policy before acceptance",data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",reachable_needs_license_review: GET fallback completed after HEAD returned HTTP 404: 404
seoul_shortest_path_api_context,Seoul Open Data Plaza Seoul Metro shortest-path API,public_api,https://www.data.go.kr/en/data/15143842/openapi.do,,reachable,200,3,data/parameters/rail_evidence_sources.csv; docs/rail_shortest_path_cache_schema.md; scripts/fetch_rail_shortest_path_cache.py,reachable_needs_license_review,medium,"connectivity is observed but official source identity, license, attribution, and snapshot suitability are unreviewed","verify source identity, terms, attribution, and retained-snapshot policy before acceptance",data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",reachable_needs_license_review: GET fallback completed after HEAD network error: <urlopen error [WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다>
seoul_timetable_api_context,Seoul subway timetable and train schedule public API context,public_api,https://data.seoul.go.kr/dataList/32/literacyView.do,,reachable,200,4,data/parameters/rail_evidence_sources.csv; docs/rail_timetable_cache_schema.md; scripts/fetch_rail_timetable_cache.py; scripts/derive_rail_headway_evidence.py,reachable_needs_license_review,medium,"connectivity is observed but official source identity, license, attribution, and snapshot suitability are unreviewed","verify source identity, terms, attribution, and retained-snapshot policy before acceptance",data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",reachable_needs_license_review: GET fallback completed after HEAD returned HTTP 404: 404
seoul_timetable_api_context,Seoul subway timetable and train schedule public API context,public_api,https://www.data.go.kr/en/data/15143847/openapi.do,,reachable,200,4,data/parameters/rail_evidence_sources.csv; docs/rail_timetable_cache_schema.md; scripts/fetch_rail_timetable_cache.py; scripts/derive_rail_headway_evidence.py,reachable_needs_license_review,medium,"connectivity is observed but official source identity, license, attribution, and snapshot suitability are unreviewed","verify source identity, terms, attribution, and retained-snapshot policy before acceptance",data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",reachable_needs_license_review: HEAD request completed
ktdb_public_transport_gtfs_context,KTDB public transport GTFS dataset candidate,public_data,https://www.ktdb.go.kr/www/selectBbsNttView.do?bbsNo=2&key=45&nttNo=3785,https://www.ktdb.go.kr/www/selectPbldataChargerWebList.do?key=12&searchClStepCode=106,network_error,,11,data/rail/ktdb_gtfs_source_extract.csv; data/rail/ktdb_gtfs_notice_raw.html; data/rail/ktdb_gtfs_dataset_list_raw.html; data/rail/rail_timing_source_request_packet.csv; data/rail/rail_timing_source_request_manifest.json; docs/rail_timing_source_request_packet.md; docs/rail_gtfs_cache_schema.md; src/realworld/ktdb_gtfs_source.py; scripts/cache_ktdb_gtfs_source.py; tests/test_realworld_ktdb_gtfs_source.py; scripts/derive_rail_gtfs_evidence.py,alternate_reachable_url_needs_review,medium,"one cited URL failed, but the same source has at least one reachable URL row and retained local artifact paths","verify whether the reachable URL and retained local artifacts are sufficient, then replace or remove the failed alternate citation before acceptance",data/manifests/provenance_acceptance.json,data/manifests/source_url_review_packet.csv,false,"Source URL remediation packet only; not source acceptance, not license certification, not calibrated real-world validation, and not operational routing approval.",alternate_reachable_url_needs_review: <urlopen error [WinError 10054] 현재 연결은 원격 호스트에 의해 강제로 끊겼습니다>
